Item Code,Description,Description (AR),Barcode,Category,UOM,Cost,Retail,Re-Order Qty,Notes,Mfr Part No,Brand
HW-100001,Crown Wood Router 1L,مسويات وروترات 1L,6351415915514,PLANERS & ROUTERS,pc,11.956,16.182,5,,,Crown
HW-100002,DeWalt Pruning Shears 24 Gauge.,مقصات تقليم 24 Gauge,6226327923649,Pruning Shears,PCS,1.557,2.082,25,DeWalt Pruning Shears - DEW-56834,,DeWalt
HW-100003,Gulf Star Garden Cart 18 Gauge  ,,6105758082567,wheelbarrows & carts,PC,14.718,17.829,10,,GUL-45880,Gulf Star
HW-100004,Gulf Star Flat Screwdriver Small,,6382433459790,Screwdrivers,PCS,6.865,8.694,20,Gulf Star Screwdrivers - GUL-98887,,Gulf Star
HW-100005,Ridgid Paint Roller Large,فرش ورولات Large,6177777185537,Brushes & Rollers,PCS,3.669,4.615,50,Ridgid Brushes & Rollers - RID-76877,RID-76877,Ridgid
HW-100006,Yato Aluminium Ladder 50kg,سلالم ألمنيوم 50kg,6262448117680,Aluminium Ladders,pcs,137.048,169.318,20,,,Yato
HW-100007,Yato ARC Welding Machine 1kg,ماكينات لحام 1kg,6668153395967,Welding Machines,PCS,11.119,14.045,25,,YAT-62362,Yato
HW-100008,STANLEY WELDING ELECTRODE 40MM,,6368939387028,Welding Rods,PCS,0.583,KD 0.863,15,Stanley Welding Rods - STA-69715,,Stanley
HW-100009,Black+Decker Door Handle 1L,مقابض أبواب 1L,6720422319141,Door Handles,pc,15.460,18.992,15,Black+Decker Door Handles - BLA-29297,BLA-29297,Black+Decker
HW-100010,Al-Fanar Pvc Pipe 1/4 Inch,مواسير بي في سي 1/4 inch,6187181862732,PVC Pipes  ,PCS,17.791,26.924,5,,AL--14893,Al-Fanar
HW-100011,Gulf Star Ready Mix Mortar 12mm,أسمنت وملاط 12mm,6101072145369,Cement  & Mortar,PCS,2.802,3.576,20,,GUL-6041,Gulf Star
HW-100012,Gulf Star Tool Kit 22 Gauge Pieces,طقم عدة 22 Gauge,6636950594006,Tool Sets,PCS,1.245,1.512,5,Gulf Star Tool Sets - GUL-55544,GUL-55544,Gulf Star
HW-100013,Gulf Star Cabinet Hinge 20L,تجهيزات خزائن 20L,6307635861890,CABINET FITTINGS,PCS,17.726,KD 21.473,10,,GUL-31809,Gulf Star
