Code,Name,Name (Arabic),Phone,Email,Payment Terms (Days),Opening Balance,Notes
SUP-1000,Al-Sanea W.L.L.,,+965 56287088,alsanea0@example.com.kw,60,6796.843,
SUP-1001,Al-Rashed W.L.L.,,+965 87181093,alrashed1@example.com.kw,0,4799.347,
SUP-1002,Gulf Hardware W.L.L.,,+965 85168960,gulf.hardware2@example.com.kw,60,0.000,"active account, Ardiya"
SUP-1003,Al-Kuwait Building Materials Est.,,+965 61278176,alkuwait.building.materials3@example.com.kw,30,0.000,"active account, Hawally"
SUP-1004,al-zamil trading co.,,+965 80941996,alzamil4@example.com.kw,30,0.000,
SUP-1005,National Tools W.L.L.,,+965 89822134,national.tools5@example.com.kw,0,0.000,"active account, Farwaniya"
SUP-1006,Al-Ghanim Trading Co.,,+965 70983860,alghanim6@example.com.kw,90,5826.927,"active account, Fahaheel"
SUP-1007,Sultan Center Trading Co.,,+965 67394798,sultan.center7@example.com.kw,45,0.000,
SUP-1008,Al-Marzouq Trading Est.,,+965 80534840,almarzouq8@example.com.kw,15,0.000,"active account, Kuwait City"
SUP-1009,Al-Bahar W.L.L.,,+965 63898254,albahar9@example.com.kw,90,KWD 3443.820,
SUP-1010,Kuwait Steel W.L.L.,,+965 56018187,kuwait.steel10@example.com.kw,90,6347.377,"active account, Ahmadi"
SUP-1011,Al-Fahad General Trading Co. W.L.L.,,+965 99896560,alfahad11@example.com.kw,30,"5,223.403",
SUP-1012,Union Hardware W.L.L.,,+965 99069012,union.hardware12@example.com.kw,15,0.000,"active account, Farwaniya"
SUP-1013,Al-Qadi Est.,,+965 59078170,alqadi13@example.com.kw,15,0.000,"active account, Ahmadi"
SUP-1014,Al-Mutawa Trading Est.,,+965 93081813,almutawa14@example.com.kw,90,3116.573,"active account, Rai"
SUP-1015,Gulf Fasteners Trading Co.,,+965 87843399,gulf.fasteners15@example.com.kw,0,1011.685,"active account, Shuwaikh"
SUP-1016,Al-Ostath General Trading Co. W.L.L.,,+965 52515270,alostath16@example.com.kw,0,KWD 2711.399,"active account, Ardiya"
SUP-1017,Middle East Tools W.L.L.,,+965 93732420,middle.east.tools17@example.com.kw,90,0.000,
SUP-1018,Al-Wazzan W.L.L.,,+965 78539127,alwazzan18@example.com.kw,15,0.000,"active account, Ardiya"
SUP-1019,Bin Hindi Est.,,+965 88500078,bin.hindi19@example.com.kw,60,KWD 4597.356,"active account, Hawally"
SUP-1020,Al-Duaij Trading Co.,,+965 55941602,alduaij20@example.com.kw,90,1017.576,
SUP-1021,Kuwait Paint General Trading Co. W.L.L.,,+965 90150847,,45,0.000,
SUP-1022,"Al-Hajeri W.L.L.,",,+965 98666200,alhajeri22@example.com.kw,0,0.000,"active account, Kuwait City"
SUP-1023,Al-Roumi General Trading Co. W.L.L.,,+965 92652376,alroumi23@example.com.kw,0,KD 3471.506,
SUP-1024,Al-Sabah Trading Trading Co.,,+965 94363925,alsabah.trading24@example.com.kw,90,0.000,
SUP-1025,Gulf Safety Supplies Est.,,+965 51264340,gulf.safety.supplies25@example.com.kw,90,"5,419.315","active account, Farwaniya"
SUP-1026,Al-Ajmi General Trading Co. W.L.L.,,+965 62981574,alajmi26@example.com.kw,30,0.000,"active account, Ardiya"
SUP-1027,Continental Hardware General Trading Co. W.L.L.,,+965 77128346,continental.hardware27@example.com.kw,60,KD 3731.331,
SUP-1028,Al-Yaqout Trading Co..,,+965 55163357,alyaqout28@example.com.kw,15,1844.799,
SUP-1029,Salem Trading Trading Co.,,+965 60993696,,60,1635.594,
SUP-1030,Al-Khaled Trading Est.  ,,+965 81238893,alkhaled30@example.com.kw,0,3900.031,"active account, Ardiya"
SUP-1031,Desert Star Hardware W.L.L.,,+965 95101621,desert.star.hardware31@example.com.kw,15,6080.368,
SUP-1032,Al-Anjari Est.,,+965 93513228,alanjari32@example.com.kw,45,7743.800,"inactive account, Salmiya"
SUP-1033,Gulf Ironmongery General Trading Co. W.L.L.,,+965 95236361,gulf.ironmongery33@example.com.kw,30,0.000,
SUP-1034,AL-NASSER W.L.L.,,+965 80896482,,90,2921.412,
SUP-1035,Bin Nakhi Trading Est.,,+965 58221344,bin.nakhi35@example.com.kw,60,KD 0.000,
SUP-1036,Al-Enezi Est.,,+965 94356873,alenezi36@example.com.kw,60,1961.983,
SUP-1037,Kuwait Adhesives W.L.L.,,+965 77284586,kuwait.adhesives37@example.com.kw,0,0.000,
SUP-1038,Al-Osaimi Trading Co.,,+965 82161293,alosaimi38@example.com.kw,90,3759.672,"active account, Farwaniya"
SUP-1039,First Gulf Tools Est.,,+965 61632463,first.gulf.tools39@example.com.kw,30,"6,827.894",
SUP-1040,Al-Sanea Trading Co. 2,,+965 53129275,alsanea40@example.com.kw,15,KD 6975.236,
SUP-1041,Al-Rashed W.L.L. 2,,+965 75696620,,0,6091.944,"active account, Shuwaikh"
SUP-1042,"gulf hardware trading est. 2,",,+965 56326328,gulf.hardware42@example.com.kw,15,7785.808,
SUP-1043,"Al-Kuwait Building Materials Trading Est. 2,",,+965 55781167,alkuwait.building.materials43@example.com.kw,30,0.000,"active account, Salmiya"
SUP-1044,Al-Zamil Trading Co. 2,,+965 84070396,alzamil44@example.com.kw,45,0.000,
SUP-1045,National Tools W.L.L. 2,,+965 96941548,national.tools45@example.com.kw,45,784.387,"active account, Fahaheel"
SUP-1046,Al-Ghanim W.L.L. 2,,+965 59166038,alghanim46@example.com.kw,45,91.137,"active account, Ardiya"
SUP-1047,  Sultan Center General Trading Co. W.L.L. 2,,+965 75228679,,45,0.000,"active account, Salmiya"
SUP-1048,Al-Marzouq Trading Co. 2,,+965 71724646,almarzouq48@example.com.kw,90,KD 0.000,"active account, Farwaniya"
SUP-1049,Al-Bahar W.L.L. 2,,+965 79375098,albahar49@example.com.kw,90,3956.143,"active account, Kuwait City"
SUP-1050,Kuwait Steel Est. 2,,+965 61379565,kuwait.steel50@example.com.kw,45,6848.896,"active account, Fahaheel"
SUP-1051,Al-Fahad Trading Co. 2,,+965 56128967,alfahad51@example.com.kw,0,1019.155,
SUP-1052,Union Hardware W.L.L. 2,,+965 94201751,union.hardware52@example.com.kw,60,384.037,
SUP-1053," Al-Qadi Est. 2 ,",,+965 89498340,alqadi53@example.com.kw,45,7521.664,"active account, Shuwaikh"
SUP-1054,Al-Mutawa General Trading Co. W.L.L. 2,,+965 50566955,,90,6529.375,
SUP-1055,Gulf Fasteners Trading Est. 2,,+965 53064512,gulf.fasteners55@example.com.kw,90,0.000,
SUP-1056,Al-Ostath Trading Co. 2,,+965 59774452,alostath56@example.com.kw,45,"2,541.641","active account, Jahra"
SUP-1057,Middle East Tools General Trading Co. W.L.L. 2,,+965 68050111,middle.east.tools57@example.com.kw,60,0.000,"active account, Ardiya"
SUP-1058,Al-Wazzan Est. 2,,+965 80803987,alwazzan58@example.com.kw,60,0.000,"inactive account, Farwaniya"
SUP-1059,Bin Hindi Est. 2,,+965 59396850,bin.hindi59@example.com.kw,15,4427.446,
SUP-1060,Al-Duaij Trading Est. 2  ,,+965 72465432,alduaij60@example.com.kw,45,5616.035,
SUP-1061,Kuwait Paint W.L.L. 2,,+965 64862093,,0,0.000,"active account, Farwaniya"
SUP-1062,Al-Hajeri Trading Co. 2,,+965 78204377,alhajeri62@example.com.kw,0,269.867,
SUP-1063,Al-Roumi Trading Co. 2  ,,+965 94527710,alroumi63@example.com.kw,90,0.000,"active account, Shuwaikh"
SUP-1064,Al-Sabah Trading W.L.L. 2,,+965 83288626,alsabah.trading64@example.com.kw,15,0.000,"active account, Hawally"
SUP-1065,Gulf Safety Supplies W.L.L. 2,,+965 84603149,gulf.safety.supplies65@example.com.kw,15,0.000,"active account, Rai"
SUP-1066,Al-Ajmi Est. 2,,+965 53097012,alajmi66@example.com.kw,90,0.000,
SUP-1067,Continental Hardware Trading Est. 2,,+965 84435581,continental.hardware67@example.com.kw,15,KD 7371.354,"active account, Jahra"
SUP-1068,Al-Yaqout W.L.L. 2,,+965 74016747,alyaqout68@example.com.kw,45,0.000,"active account, Ardiya"
