itemSku,altCode,codeType,note
HW-104027,ALT-12708,other,
HW-104749,ALT-94207,other,Old catalogue code for Crown
HW-100379,ALT-74130,oem,Old catalogue code for Stanley
HW-100379,ALT-80742,oem,
HW-101599,ALT-65024,oem,
HW-101599,ALT-84370,oem,
HW-104150,ALT-21743,superseded,
HW-104150,ALT-89862,aftermarket,
HW-100625,ALT-78124,aftermarket,
HW-102345,ALT-92040,superseded,Old catalogue code for Ingco
HW-102345,ALT-45796,oem,
HW-101911,ALT-93480,superseded,
HW-104936,ALT-32911,oem,
HW-101220,ALT-22770,superseded,
HW-102185,ALT-84969,other,Old catalogue code for Gulf Star
HW-102379,ALT-72433,aftermarket,
HW-102379,ALT-34620,aftermarket,
HW-104342,ALT-83802,superseded,
HW-104685,ALT-71070,superseded,Old catalogue code for Ingco
HW-101442,ALT-75553,other,Old catalogue code for Black+Decker
HW-103620,ALT-73290,aftermarket,Old catalogue code for Makita
HW-101542,ALT-93100,other,
HW-101542,ALT-11354,aftermarket,
HW-100256,ALT-30389,superseded,
HW-104684,ALT-78124,aftermarket,
HW-100498,ALT-90824,superseded,Old catalogue code for Crown
HW-104139,ALT-92435,superseded,Old catalogue code for Hitachi
HW-104985,ALT-82516,superseded,Old catalogue code for Sata
HW-104116,ALT-63898,aftermarket,Old catalogue code for Bosch
HW-104116,ALT-80592,oem,
HW-101681,ALT-76826,oem,
HW-102264,ALT-34047,other,
HW-100793,ALT-13172,aftermarket,Old catalogue code for Tolsen
HW-103873,ALT-27069,oem,
HW-102072,ALT-63885,superseded,Old catalogue code for Makita
HW-101017,ALT-96190,other,
HW-101017,ALT-22340,oem,
HW-102737,ALT-39091,superseded,
HW-102620,ALT-93719,oem,Old catalogue code for Truper
HW-100567,ALT-97174,aftermarket,Old catalogue code for Bosch
HW-103352,ALT-26124,oem,
HW-102481,ALT-28234,other,Old catalogue code for Gulf Star
HW-100273,ALT-71401,aftermarket,
HW-101706,ALT-97016,oem,Old catalogue code for Truper
HW-103053,ALT-82857,aftermarket,Old catalogue code for Total
HW-103519,ALT-67790,other,Old catalogue code for DeWalt
HW-101821,ALT-13939,oem,Old catalogue code for Yato
HW-101013,ALT-72277,oem,
HW-101482,ALT-92706,oem,
HW-101727,ALT-33470,oem,
HW-100006,ALT-19298,superseded,
HW-100437,ALT-43676,superseded,
HW-101410,ALT-20557,superseded,Old catalogue code for Hitachi
HW-102446,ALT-74331,oem,
HW-101906,ALT-54707,oem,Old catalogue code for Makita
HW-104904,ALT-51501,other,Old catalogue code for Gulf Star
HW-100587,ALT-37977,other,Old catalogue code for Stanley
HW-100587,ALT-49294,oem,
HW-103142,ALT-34502,aftermarket,Old catalogue code for Skil
HW-100992,ALT-75729,other,Old catalogue code for Hilti
HW-100992,ALT-39517,oem,
HW-103663,ALT-73634,aftermarket,
HW-104258,ALT-72610,superseded,
HW-104655,ALT-11031,oem,
HW-102514,ALT-23992,other,
HW-103985,ALT-29106,oem,Old catalogue code for Gulf Star
HW-103985,ALT-14984,aftermarket,
HW-101425,ALT-85346,other,Old catalogue code for Sata
HW-104429,ALT-89742,superseded,Old catalogue code for Ingco
HW-103152,ALT-40518,other,Old catalogue code for Black+Decker
HW-102624,ALT-14240,oem,Old catalogue code for Hitachi
HW-100175,ALT-35914,aftermarket,Old catalogue code for Al-Fanar
HW-104816,ALT-55036,aftermarket,
HW-102006,ALT-88969,oem,Old catalogue code for Yato
HW-101144,ALT-10812,oem,Old catalogue code for Yato
HW-103969,ALT-67901,other,
HW-103969,ALT-67070,oem,
HW-102080,ALT-58499,aftermarket,
HW-102080,ALT-81075,aftermarket,
HW-102474,ALT-58981,superseded,Old catalogue code for Metabo
HW-102474,ALT-93805,oem,
HW-104634,ALT-80821,aftermarket,
HW-100713,ALT-62639,other,Old catalogue code for Ridgid
HW-100801,ALT-96511,aftermarket,
HW-104536,ALT-26365,superseded,Old catalogue code for Ridgid
HW-103107,ALT-23027,superseded,Old catalogue code for Total
HW-100181,ALT-60261,oem,Old catalogue code for Truper
HW-100486,ALT-76272,other,
HW-100486,ALT-19529,aftermarket,
HW-103637,ALT-97039,oem,Old catalogue code for Crown
HW-100393,ALT-28755,superseded,
HW-100756,ALT-87211,oem,Old catalogue code for DeWalt
HW-102803,ALT-10813,superseded,Old catalogue code for Gulf Star
HW-100883,ALT-58909,oem,Old catalogue code for Tolsen
HW-100638,ALT-39668,superseded,
HW-100638,ALT-33231,oem,
HW-103636,ALT-18350,aftermarket,Old catalogue code for Total
HW-100026,ALT-69139,superseded,
HW-100362,ALT-82599,other,Old catalogue code for Al-Fanar
HW-101337,ALT-67436,oem,Old catalogue code for Sata
HW-101337,ALT-97556,aftermarket,
HW-104187,ALT-29785,other,
HW-101614,ALT-54688,other,
HW-102136,ALT-49797,oem,
HW-102939,ALT-23896,oem,Old catalogue code for Sata
HW-102703,ALT-81222,other,Old catalogue code for Yato
HW-103114,ALT-45146,other,Old catalogue code for Sata
HW-102359,ALT-54287,other,Old catalogue code for Al-Fanar
HW-102538,ALT-89807,superseded,Old catalogue code for Hilti
HW-102702,ALT-92796,aftermarket,
HW-100728,ALT-69816,other,Old catalogue code for Ridgid
HW-104490,ALT-31674,oem,Old catalogue code for Truper
HW-101037,ALT-48639,other,
HW-102847,ALT-65639,oem,Old catalogue code for Makita
HW-104121,ALT-81751,oem,Old catalogue code for Black+Decker
HW-102152,ALT-78717,oem,Old catalogue code for Ridgid
HW-102297,ALT-67494,superseded,Old catalogue code for Crown
HW-102068,ALT-91263,oem,Old catalogue code for Tolsen
HW-102068,ALT-50009,aftermarket,
HW-104431,ALT-95060,aftermarket,Old catalogue code for Gulf Star
HW-102073,ALT-78585,aftermarket,Old catalogue code for Black+Decker
HW-102073,ALT-37922,oem,
HW-102948,ALT-58193,aftermarket,Old catalogue code for Gulf Star
HW-103364,ALT-33878,aftermarket,
HW-102894,ALT-11134,oem,Old catalogue code for Gulf Star
HW-103328,ALT-71810,superseded,
HW-103850,ALT-97071,other,
HW-102389,ALT-17337,aftermarket,
HW-104347,ALT-30801,oem,Old catalogue code for Ingco
HW-102722,ALT-73101,aftermarket,Old catalogue code for Yato
HW-100436,ALT-25139,aftermarket,
HW-100436,ALT-32724,oem,
HW-103896,ALT-45833,other,
HW-104873,ALT-56154,other,Old catalogue code for Al-Fanar
HW-100048,ALT-54001,other,Old catalogue code for Ingco
HW-104677,ALT-36655,oem,Old catalogue code for Hilti
HW-104225,ALT-43793,aftermarket,Old catalogue code for Crown
HW-104225,ALT-18426,aftermarket,
HW-101587,ALT-38605,superseded,
HW-103293,ALT-94671,aftermarket,Old catalogue code for Black+Decker
HW-100063,ALT-22033,oem,
HW-101040,ALT-77913,superseded,Old catalogue code for Hitachi
HW-102455,ALT-82679,oem,Old catalogue code for Al-Fanar
HW-102455,ALT-56093,oem,
HW-100227,ALT-58661,superseded,
HW-100115,ALT-16123,other,Old catalogue code for Ingco
HW-100115,ALT-95191,oem,
HW-103909,ALT-27293,other,Old catalogue code for Metabo
HW-103909,ALT-11332,oem,
HW-101074,ALT-11216,oem,Old catalogue code for Sata
HW-102012,ALT-96887,aftermarket,Old catalogue code for Hilti
HW-102816,ALT-50286,superseded,Old catalogue code for Skil
HW-104519,ALT-89138,other,Old catalogue code for Truper
HW-104311,ALT-68388,other,Old catalogue code for Truper
HW-102661,ALT-51013,aftermarket,Old catalogue code for Al-Fanar
HW-102295,ALT-88668,superseded,Old catalogue code for Sata
HW-103335,ALT-20147,other,
HW-103335,ALT-42282,aftermarket,
HW-102019,ALT-81802,oem,Old catalogue code for Black+Decker
HW-103473,ALT-30950,other,Old catalogue code for Total
HW-100345,ALT-60765,aftermarket,Old catalogue code for Al-Fanar
HW-100345,ALT-39807,oem,
HW-100685,ALT-29973,oem,Old catalogue code for Bosch
HW-100685,ALT-51867,aftermarket,
HW-100369,ALT-86288,other,Old catalogue code for Black+Decker
HW-100369,ALT-42189,oem,
HW-102622,ALT-23287,superseded,Old catalogue code for DeWalt
HW-104907,ALT-57647,superseded,Old catalogue code for Metabo
HW-104942,ALT-46660,aftermarket,Old catalogue code for Total
HW-104942,ALT-24348,aftermarket,
HW-103436,ALT-93337,other,Old catalogue code for Hilti
HW-100082,ALT-77602,superseded,
HW-100708,ALT-87154,superseded,Old catalogue code for Sata
HW-100708,ALT-90637,aftermarket,
HW-100080,ALT-28776,oem,
HW-103418,ALT-94885,superseded,Old catalogue code for Makita
HW-100406,ALT-74921,oem,Old catalogue code for Metabo
HW-100936,ALT-79938,superseded,Old catalogue code for Yato
HW-101862,ALT-45742,superseded,Old catalogue code for Makita
HW-101204,ALT-30299,aftermarket,Old catalogue code for Total
HW-101543,ALT-93699,other,Old catalogue code for Gulf Star
HW-101591,ALT-93859,superseded,Old catalogue code for Al-Fanar
HW-104777,ALT-22428,oem,
HW-100672,ALT-22792,superseded,Old catalogue code for Skil
HW-100672,ALT-78405,oem,
HW-101389,ALT-49360,superseded,Old catalogue code for Total
HW-102287,ALT-67520,oem,Old catalogue code for Stanley
HW-104961,ALT-43110,aftermarket,
HW-100153,ALT-79654,aftermarket,
HW-104735,ALT-57953,superseded,Old catalogue code for Total
HW-103193,ALT-13262,other,
HW-103193,ALT-51504,aftermarket,
HW-100417,ALT-23398,superseded,
HW-100417,ALT-56642,oem,
HW-100664,ALT-30538,oem,Old catalogue code for Hitachi
HW-103821,ALT-94629,other,Old catalogue code for Skil
HW-102897,ALT-48824,other,
HW-101676,ALT-40621,other,Old catalogue code for Ingco
HW-103134,ALT-22317,other,Old catalogue code for Tolsen
HW-102410,ALT-38177,other,Old catalogue code for Skil
HW-104596,ALT-31432,oem,Old catalogue code for Truper
HW-103653,ALT-88012,superseded,Old catalogue code for Bosch
HW-103653,ALT-15078,oem,
HW-103767,ALT-96355,aftermarket,Old catalogue code for Skil
HW-102201,ALT-29155,aftermarket,Old catalogue code for Bosch
HW-102201,ALT-25150,aftermarket,
HW-101497,ALT-91748,oem,
HW-101198,ALT-14051,aftermarket,
HW-103817,ALT-88511,superseded,Old catalogue code for Bosch
HW-103871,ALT-63231,oem,Old catalogue code for Hitachi
HW-101503,ALT-65768,oem,Old catalogue code for Total
HW-101503,ALT-13462,aftermarket,
HW-102864,ALT-47433,superseded,Old catalogue code for Yato
HW-102864,ALT-52101,aftermarket,
HW-104090,ALT-39044,oem,Old catalogue code for Metabo
HW-104090,ALT-32527,aftermarket,
HW-101621,ALT-54481,other,
HW-101621,ALT-81705,oem,
HW-103281,ALT-24467,oem,Old catalogue code for Gulf Star
HW-103505,ALT-45142,other,Old catalogue code for Tolsen
HW-100471,ALT-13833,oem,
HW-100811,ALT-90372,superseded,Old catalogue code for Tolsen
HW-103227,ALT-79611,superseded,Old catalogue code for Karcher
HW-104345,ALT-12390,other,
HW-102440,ALT-89519,superseded,Old catalogue code for Total
HW-103336,ALT-12420,oem,Old catalogue code for Tolsen
HW-103336,ALT-60524,aftermarket,
HW-103504,ALT-65351,aftermarket,
HW-104331,ALT-32795,aftermarket,Old catalogue code for DeWalt
HW-103178,ALT-39699,superseded,Old catalogue code for Karcher
HW-103942,ALT-58964,superseded,Old catalogue code for Al-Fanar
HW-101127,ALT-78492,other,
HW-104163,ALT-85040,other,
HW-101549,ALT-35747,superseded,
HW-102468,ALT-60969,oem,
HW-102039,ALT-99706,aftermarket,Old catalogue code for Hitachi
HW-103566,ALT-59447,aftermarket,
HW-101012,ALT-97473,superseded,Old catalogue code for Ridgid
HW-104722,ALT-43084,superseded,
HW-101941,ALT-45777,superseded,Old catalogue code for Makita
HW-101733,ALT-69526,superseded,Old catalogue code for Hitachi
HW-100894,ALT-67687,other,Old catalogue code for Makita
HW-103987,ALT-37527,aftermarket,Old catalogue code for Sata
