namePrimary,nameSecondary,sku,barcode,categoryCode,taxGroup,trackingType,cost,sellPrice,baseUnit,brand,partNumber,reorderLevel,valuationMethod,wholesalePrice
Crown  Wood Router 1L,مسويات وروترات 1L,HW-100001,6351415915514,CAT006,,serial,11.956,16.182,PCS,Crown,CRO-42050,5,wac,14.279
DeWalt Pruning Shears 24 Gauge,,HW-100002,6226327923649,CAT083,,none,1.557,KWD 2.082,PCS,DeWalt,DEW-56834,'25,wac,1.789
Gulf Star Garden Cart 18 Gauge,عربات حديقة 18 Gauge,HW-100003,6105758082567,CAT084,,none,14.718,17.829,PCS,Gulf Star,GUL-45880,10,wac,17.496
Gulf Star Flat Screwdriver Small,مفكات Small,HW-100004,6382433459790,CAT011,,none,6.865,8.694,PCS,Gulf Star,GUL-98887,20,fifo,8.092
Ridgid Paint Roller Large,فرش ورولات Large,HW-100005,6177777185537,CAT048,,none,3.669,4.615,PCS,Ridgid,RID-76877,50,wac,3.987
Yato Aluminium Ladder 50kg,سلالم ألمنيوم 50kg,HW-100006,6262448117680,CAT091,,none,137.048,169.318,PCS,Yato,YAT-82895,20,wac,162.947
YATO ARC WELDING MACHINE 1KG,,HW-100007,6668153395967,CAT008,,serial,11.119,14.045,PCS,,YAT-62362,25,wac,12.702
Stanley Welding Electrode 40mm,أسياخ لحام 40mm,HW-100008,6368939387028,CAT095,,none,0.583,0.863,Nos,Stanley,STA-69715,15,wac,0.691
Black+Decker Door Handle 1L,مقابض أبواب 1L,HW-100009,6720422319141,CAT077,,none,KWD 15.460,18.992,pcs,Black+Decker,BLA-29297,15,wac,18.448
Al-Fanar PVC Pipe 1/4 inch,مواسير بي في سي 1/4 inch,HW-100010,6187181862732,CAT029,,none,17.791,26.924,PCS,Al-Fanar,AL--14893,5,wac,21.173
Gulf Star Ready Mix Mortar 12mm,,HW-100011,6101072145369,CAT069,,none,2.802,3.576,pcs,Gulf Star,GUL-6041,20,wac,KWD 3.315
Gulf Star Tool Kit 22 Gauge Pieces,طقم عدة 22 Gauge,HW-100012,6636950594006,CAT016,,none,1.245,1.512,PCS,Gulf Star,GUL-55544,5,wac,1.404
Gulf  Star Cabinet Hinge 20L,تجهيزات خزائن 20L,HW-100013,6307635861890,CAT078,,none,17.726,21.473,PCS,Gulf Star,GUL-31809,10,wac,19.513
Ridgid Wire Brush 650W,,HW-100014,6435476024825,CAT067,,none,KD 19.798,26.769,PCS,Ridgid,,20,wac,22.548
Karcher Pop Rivet 18 Gauge,مسامير برشام 18 Gauge,HW-100015,6248488420545,CAT026,,none,5.741,7.054,Nos,Karcher,KAR-80084,25,wac,6.491
Ridgid Copper Elbow 25kg,وصلات نحاس 25kg,HW-100016,6674928030793,CAT030,,none,8.649,12.724,PCS,Ridgid,RID-66474,25,wac,9.578
