itemSku,warehouse,batchNo,expiryDate,qty,unitCost
HW-100019,Fahaheel Branch,B2025239,09-01-2028,85,129.692
HW-100045,Rai Branch,B2025628,2026-11-24,110,6.263
HW-100076,Ardiya Warehouse,B2026987,2028-09-20,94,8.296
HW-100079,Rai Branch,B2025516,13-04-2028,280,8.368
HW-100090,Shuwaikh Main,B2026917,19/5/2027,251,1.439
HW-100095,Shuwaikh Main,B2025507,07-10-2026,255,2.754
HW-100099,Fahaheel Branch,B2025771,04-01-2028,242,13.115
HW-100104,Fahaheel Branch,B2026537,01-06-2027,83,3.856
HW-100113,Ardiya Warehouse,B2026842,3/8/2028,147,9.569
HW-100115,Ardiya Warehouse,B2025897,02-09-2027,114,24.655
HW-100120,Shuwaikh Main,B2025235,5/12/2026,252,2.369
HW-100122,Ardiya Warehouse,B2025778,29-06-2028,232,15.827
HW-100137,Fahaheel Branch,B2026253,29/6/2027,71,KWD 21.569
HW-100141,Rai Branch,B2025169,10-10-2027,55,8.429
HW-100151,Fahaheel Branch,B2025913,04-11-2028,29,23.511
HW-100152,Fahaheel Branch,B2026822,05-08-2028,42,11.718
HW-100180,Fahaheel Branch,B2026265,12/11/2028,57,15.482
HW-100184,Ardiya Warehouse,B2025550,2028-01-24,280,2.942
HW-100189,Ardiya Warehouse,B2026241,27-08-2027,244,212.362
HW-100208,Fahaheel Branch,B2025327,2027-04-28,257,7.148
HW-100221,Shuwaikh Main,B2025436,2028-01-08,193,24.529
HW-100231,Ardiya Warehouse,B2025522,21-08-2027,126,1.357
HW-100240,Rai Branch,B2026301,13-02-2028,152,8.179
HW-100250,Shuwaikh Main,B2025886,18-05-2027,30,16.825
HW-100267,Fahaheel Branch,B2025366,2027-04-14,186,3.607
HW-100274,Shuwaikh Main,B2025714,2028-12-19,101,21.605
HW-100279,Rai Branch,B2026139,2027-12-18,130,19.280
HW-100283,Ardiya Warehouse,B2026953,14-02-2028,66,145.684
HW-100285,Rai Branch,B2025355,01-12-2026,22,KD 18.934
HW-100291,Ardiya Warehouse,B2025787,2028-10-02,192,18.611
HW-100326,Shuwaikh Main,B2025406,2027-05-20,29,4.868
HW-100329,Fahaheel Branch,B2026166,23/11/2028,47,KWD 1.862
HW-100342,Ardiya Warehouse,B2025508,2027-10-07,42,22.250
HW-100352,Rai Branch,B2025980,2027-03-18,149,24.847
HW-100363,Fahaheel Branch,B2026830,11/7/2027,186,13.978
HW-100368,Ardiya Warehouse,B2025661,2027-06-01,98,8.472
HW-100373,Rai Branch,B2025752,05-12-2028,129,KWD 21.188
HW-100377,Fahaheel Branch,B2026366,20/9/2027,97,15.589
HW-100378,Shuwaikh Main,B2025130,19-02-2028,283,18.446
HW-100388,Shuwaikh Main,B2025367,2026-12-27,167,2.470
HW-100389,Shuwaikh Main,B2025564,4/10/2027,23,KWD 16.926
HW-100395,Shuwaikh Main,B2025767,2028-07-22,131,6.125
HW-100396,Rai Branch,B2026175,2027-08-14,266,9.927
HW-100403,Rai Branch,B2025422,25-12-2026,287,20.188
HW-100405,Ardiya Warehouse,B2025691,2027-12-09,297,13.356
HW-100410,Shuwaikh Main,B2026687,1/4/2027,223,2.313
HW-100425,Shuwaikh Main,B2025176,17/2/2028,63,4.499
HW-100441,Shuwaikh Main,B2025784,23/8/2028,297,14.273
HW-100442,Fahaheel Branch,B2026711,2028-06-25,13,6.736
HW-100454,Ardiya Warehouse,B2026342,5/4/2027,118,KWD 24.744
HW-100467,Fahaheel Branch,B2025440,2027-02-10,41,11.520
HW-100474,Fahaheel Branch,B2025230,26/4/2028,87,3.615
HW-100479,Rai Branch,B2026707,10/10/2026,223,19.461
