itemSku,unitCost,Shuwaikh Main,Rai Branch,Fahaheel Branch,Ardiya Warehouse
HW-100001,11.956,6,6,8,6
HW-100002,1.557,0,0,0,0
HW-100003,14.718,4,0,0,0
HW-100004,6.865,11,0,0,9
HW-100005,3.669,7,0,0,0
HW-100006,137.048,0,2,0,0
HW-100007,11.119,0,3,2,0
HW-100008,0.583,4,4,6,3
HW-100009,15.460,12,11,0,0
HW-100010,17.791,5,0,0,0
HW-100011,2.802,5,0,8,0
HW-100012,1.245,5,0,2,12
HW-100013,17.726,0,0,2,5
HW-100014,19.798,0,0,0,0
HW-100015,5.741,0,0,0,0
HW-100016,8.649,0,3,0,8
HW-100017,5.768,0,0,0,4
HW-100018,7.042,0,0,0,0
HW-100019,129.692,3,9,0,5
HW-100020,14.553,0,0,0,1
HW-100021,10.608,0,0,0,10
HW-100022,16.729,0,9,0,10
HW-100023,KWD 0.351,12,0,4,4
HW-100024,23.751,0,0,6,8
HW-100025,18.438,0,0,3,0
HW-100026,2.588,8,0,12,0
HW-100027,17.433,6,0,10,8
HW-100028,11.058,7,11,12,0
HW-100029,23.505,0,0,0,3
HW-100030,2.886,0,0,0,7
HW-100031,22.751,7,0,0,0
HW-100032,15.671,2,9,9,0
HW-100033,8.480,8,0,0,8
HW-100034,14.072,0,7,0,3
HW-100035,18.321,3,4,7,0
HW-100036,86.407,0,0,1,0
HW-100037,KD 20.633,0,0,5,11
HW-100038,4.218,5,0,10,0
HW-100039,7.544,3,4,0,0
HW-100040,KWD 22.335,0,0,0,9
HW-100041,22.920,0,0,0,0
HW-100042,14.678,6,10,9,0
HW-100043,13.732,9,11,0,10
HW-100044,25.736,12,6,9,0
HW-100045,6.263,9,0,0,7
HW-100046,KD 18.676,0,12,0,2
HW-100047,13.738,0,0,2,9
HW-100048,19.187,0,5,11,7
HW-100049,15.410,1,7,0,1
HW-100050,16.432,0,0,10,3
HW-100051,14.265,12,12,0,0
HW-100052,KD 1.087,0,10,0,0
HW-100053,24.916,3,10,0,4
HW-100054,KD 13.544,2,0,8,0
HW-100055,1.405,0,0,3,9
HW-100056,0.189,0,7,7,2
HW-100057,3.516,0,1,5,10
HW-100058,13.740,0,0,0,6
HW-100059,KD 157.656,0,0,0,8
HW-100060,22.746,0,4,0,3
HW-100061,24.365,0,4,0,0
HW-100062,KD 6.681,0,0,0,5
HW-100063,1.685,7,0,0,10
HW-100064,13.086,0,10,0,11
HW-100065,7.252,10,0,11,9
HW-100066,18.758,9,0,0,0
HW-100067,21.343,4,2,6,4
HW-100068,17.732,0,7,0,3
HW-100069,16.186,0,0,4,0
HW-100070,1.178,5,5,5,0
HW-100071,7.793,1,0,11,0
HW-100072,32.286,0,9,4,10
HW-100073,12.811,5,0,7,0
HW-100074,13.395,0,0,0,0
