name,nameAlt,code,openingBalance,phone,email,taxNumber,paymentTermDays,creditLimit,status,addressLine1,addressLine2,city,state,postalCode,country,notes
Al-Fahad Contracting,,CUST-1000,4691.349,+965 86097145,,,90,32349.547,active,83 Block 7,,Rai,,,Kuwait,
Modern Home Fix-It  Est.,,CUST-1001,0.000,+965 70618214,modern.home.fixit1@example.com.kw,,90,14010.652,active,,,Farwaniya,,,Kuwait,Imported opening balance
Al-Sabah Villa Services,,CUST-1002,4801.452,+965 59287050,alsabah.villa.services2@example.com.kw,,15,"13,049.460",active,15 Block 18,,Hawally,,,Kuwait,
Bayt Al-Jomard  Est..,,CUST-1003,4586.351,+965 80482360,bayt.aljomard3@example.com.kw,,45,8393.009,active,11 St 9,,Kuwait City,,,Kuwait,Imported opening balance
Al-Duaij Maintenance  Est.,,CUST-1004,0.000,+965 60391027,alduaij.maintenance4@example.com.kw,,30,"1,066.614",active,69 Block 13,,Ardiya,,,Kuwait,
Gulf Builders  Est.,,CUST-1005,7618.384,+965 86581875,gulf.builders5@example.com.kw,,0,38653.281,active,3 St 2,,Kuwait City,,,Kuwait,
Salem Al-Rashidi,,CUST-1006,0.000,+965 59549639,salem.alrashidi6@example.com.kw,,15,47152.183,inactive,57 Bldg 3,,Ahmadi,,,Kuwait,Imported opening balance
Fahad Al-Otaibi,,CUST-1007,0.000,+965 95718191,fahad.alotaibi7@example.com.kw,,90,13838.929,active,75 Block 11,,Ardiya,,,Kuwait,
Al-Mutairi Est.  Est.,,CUST-1008,4587.232,+965 64026657,almutairi.est.8@example.com.kw,,90,8200.368,active,,,Fahaheel,,,Kuwait,Imported opening balance
New Kuwait Contracting,,CUST-1009,KWD 0.000,+965 95583736,new.kuwait.contracting9@example.com.kw,,45,KD 14772.351,active,18 Bldg 16,,Ahmadi,,,Kuwait,Imported opening balance
Al-Ajmi Interiors  Est.,,CUST-1010,3359.163,+965 65241289,alajmi.interiors10@example.com.kw,,15,"4,193.028",active,1 Block 7,,Kuwait City,,,Kuwait,Imported opening balance
Ahmad Al-Kandari,,CUST-1011,5002.423,+965 90883024,ahmad.alkandari11@example.com.kw,,15,44635.596,active,15 Bldg 7,,Salmiya,,,Kuwait,Imported opening balance
Al-Enezi General Maintenance,,CUST-1012,0.000,+965 51739181,alenezi.general.maintenance12@example.com.kw,,30,36647.652,active,6 Bldg 18,,Salmiya,,,Kuwait,Imported opening balance
Desert Rose Interiors,,CUST-1013,0.000,+965 71342314,,,15,41118.650,active,34 St 12,,Ahmadi,,,Kuwait,
Al-Anjari Villas  Est.,,CUST-1014,4240.244,+965 88916322,,,60,810.497,active,16 Block 11,,Kuwait City,,,Kuwait,Imported opening balance
Al-Roumi Renovation  Est.  ,,CUST-1015,1566.568,+965 64704328,alroumi.renovation15@example.com.kw,,15,25008.845,active,85 Bldg 18,,Kuwait City,,,Kuwait,
Union Facility Services,,CUST-1016,0.000,+965 69752287,union.facility.services16@example.com.kw,,15,23227.209,active,60 Block 15,,Fahaheel,,,Kuwait,Imported opening balance
Al-Yaqout Villas,,CUST-1017,4646.349,+965 70713233,alyaqout.villas17@example.com.kw,,15,41936.052,active,23 St 16,,Rai,,,Kuwait,
Al-Qadi Household,,CUST-1018,0.000,+965 53790704,alqadi.household18@example.com.kw,,30,43372.064,active,92 St 16,,Fahaheel,,,Kuwait,
Nasser Al-Hajeri  Est.,,CUST-1019,KWD 0.000,+965 74926012,nasser.alhajeri19@example.com.kw,,0,31687.090,blocked,40 Bldg 6,,Hawally,,,Kuwait,Imported opening balance
AL-GHANIM HOME REPAIRS,,CUST-1020,KD 0.000,+965 96014146,alghanim.home.repairs20@example.com.kw,,45,34038.060,active,66 St 3,,Kuwait City,,,Kuwait,Imported opening balance
Al-Bahar Property Services,,CUST-1021,3657.649,+965 92380161,albahar.property.services21@example.com.kw,,30,49869.234,active,5 St 16,,Ahmadi,,,Kuwait,
"Gulf Facility Management,",,CUST-1022,0.000,+965 57002990,gulf.facility.management22@example.com.kw,,90,25122.503,active,78 Bldg 10,,Farwaniya,,,Kuwait,Imported opening balance
Continental Maintenance Co.  Est.,,CUST-1023,2104.842,+965 71886100,continental.maintenance.co.23@example.com.kw,,0,20620.332,active,3 St 13,,Ahmadi,,,Kuwait,Imported opening balance
  Al-Zamil Villas,,CUST-1024,1762.190,+965 83662331,alzamil.villas24@example.com.kw,,90,34505.858,active,,,Salmiya,,,Kuwait,Imported opening balance
Bin Hindi Property  Est.,,CUST-1025,0.000,+965 50474812,bin.hindi.property25@example.com.kw,,15,14407.229,active,64 Block 9,,Salmiya,,,Kuwait,Imported opening balance
AL-WAZZAN MAINTENANCE,,CUST-1026,4864.038,+965 77137129,alwazzan.maintenance26@example.com.kw,,45,29553.119,active,54 Block 4,,Ardiya,,,Kuwait,Imported opening balance
Al-Marzouq Home,,CUST-1027,3702.628,+965 79362794,almarzouq.home27@example.com.kw,,90,17663.492,active,97 Block 9,,Ahmadi,,,Kuwait,Imported opening balance
Farwaniya Fix-It Center  Est.,,CUST-1028,5497.088,+965 76507667,,,60,22672.701,active,6 Block 20,,Kuwait City,,,Kuwait,
Salmiya Handyman Services,,CUST-1029,0.000,+965 74821118,salmiya.handyman.services29@example.com.kw,,45,40474.703,active,88 St 18,,Shuwaikh,,,Kuwait,
Hawally Repair Shop,,CUST-1030,0.000,+965 57082097,hawally.repair.shop30@example.com.kw,,45,22510.025,active,3 Block 18,,Ardiya,,,Kuwait,
Jahra Building Supplies Buyer,,CUST-1031,5133.260,+965 67167199,,,15,2962.109,active,57 Block 4,,Jahra,,,Kuwait,
Ahmadi Villa Care  Est..,,CUST-1032,0.000,+965 63418224,ahmadi.villa.care32@example.com.kw,,0,47801.152,active,80 Bldg 4,,Ardiya,,,Kuwait,
Fahaheel Home Services,,CUST-1033,KD 0.000,+965 52116056,fahaheel.home.services33@example.com.kw,,45,33454.774,active,82 St 16,,Kuwait City,,,Kuwait,Imported opening balance
Al-Khaled General Trading,,CUST-1034,0.000,+965 53060510,alkhaled.general.trading34@example.com.kw,,45,13489.954,inactive,79 St 10,,Fahaheel,,,Kuwait,Imported opening balance
Al-Nasser Renovation  Est.,,CUST-1035,0.000,+965 97122826,alnasser.renovation35@example.com.kw,,45,40448.344,active,41 Block 2,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Osaimi Maintenance,,CUST-1036,0.000,+965 91361004,,,60,KD 11362.701,active,25 Block 15,,Shuwaikh,,,Kuwait,
First Gulf Interiors,,CUST-1037,1611.456,+965 93394250,first.gulf.interiors37@example.com.kw,,30,16790.123,active,33 Bldg 11,,Ardiya,,,Kuwait,Imported opening balance
Al-Rashed Villas,,CUST-1038,0.000,+965 83337073,alrashed.villas38@example.com.kw,,15,11469.460,inactive,11 St 12,,Ardiya,,,Kuwait,
 Al-Sanea Property ,,CUST-1039,0.000,+965 70735981,,,15,47377.073,active,32 St 8,,Shuwaikh,,,Kuwait,Imported opening balance
 Al-Fahad Contracting  Est. 2 ,,CUST-1040,0.000,+965 70544624,alfahad.contracting40@example.com.kw,,15,16208.802,active,87 Block 3,,Ardiya,,,Kuwait,
Modern Home Fix-It 2,,CUST-1041,1369.893,+965 77971195,,,30,28128.777,active,51 St 20,,Salmiya,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 2,,CUST-1042,6317.692,+965 56250640,alsabah.villa.services42@example.com.kw,,0,39438.838,active,,,Shuwaikh,,,Kuwait,Imported opening balance
Bayt Al-Jomard 2,,CUST-1043,890.533,+965 51520840,bayt.aljomard43@example.com.kw,,45,9384.248,blocked,54 St 6,,Salmiya,,,Kuwait,
Al-Duaij Maintenance 2,,CUST-1044,0.000,+965 92601210,alduaij.maintenance44@example.com.kw,,15,"4,567.207",active,97 Block 15,,Shuwaikh,,,Kuwait,Imported opening balance
Gulf Builders  Est. 2,,CUST-1045,1705.447,+965 65914328,gulf.builders45@example.com.kw,,90,KD 42237.978,active,32 St 19,,Kuwait City,,,Kuwait,
Salem Al-Rashidi  Est. 2,,CUST-1046,4063.167,+965 84531857,salem.alrashidi46@example.com.kw,,30,10700.707,inactive,,,Rai,,,Kuwait,
Fahad Al-Otaibi 2,,CUST-1047,0.000,+965 88582161,fahad.alotaibi47@example.com.kw,,15,21675.319,active,22 Block 16,,Hawally,,,Kuwait,Imported opening balance
Al-Mutairi Est.  Est. 2,,CUST-1048,0.000,+965 80557929,almutairi.est.48@example.com.kw,,60,KWD 14237.082,active,,,Salmiya,,,Kuwait,Imported opening balance
"New Kuwait Contracting  Est. 2,",,CUST-1049,7730.137,+965 63217116,new.kuwait.contracting49@example.com.kw,,0,"38,717.522",active,77 St 17,,Fahaheel,,,Kuwait,Imported opening balance
Al-Ajmi Interiors 2,,CUST-1050,"2,758.626",+965 90346253,alajmi.interiors50@example.com.kw,,90,30530.907,active,48 St 1,,Farwaniya,,,Kuwait,
 Ahmad Al-Kandari  Est. 2 ,,CUST-1051,0.000,+965 72932217,ahmad.alkandari51@example.com.kw,,90,44828.319,active,80 St 17,,Ardiya,,,Kuwait,
Al-Enezi General Maintenance  Est. 2,,CUST-1052,KWD 0.000,+965 55122194,alenezi.general.maintenance52@example.com.kw,,15,24720.310,active,,,Kuwait City,,,Kuwait,
Desert Rose Interiors 2,,CUST-1053,0.000,+965 68462248,desert.rose.interiors53@example.com.kw,,60,22015.583,active,20 St 5,,Rai,,,Kuwait,
AL-ANJARI VILLAS  EST. 2,,CUST-1054,KD 0.000,+965 85592282,alanjari.villas54@example.com.kw,,60,31948.622,active,,,Fahaheel,,,Kuwait,
Al-Roumi Renovation 2,,CUST-1055,0.000,+965 99198645,alroumi.renovation55@example.com.kw,,30,28420.427,active,92 Block 8,,Fahaheel,,,Kuwait,Imported opening balance
Union Facility Services 2,,CUST-1056,4089.924,+965 87841106,union.facility.services56@example.com.kw,,90,25968.020,active,22 Bldg 9,,Shuwaikh,,,Kuwait,
Al-Yaqout Villas  Est. 2,,CUST-1057,3973.766,+965 80243123,alyaqout.villas57@example.com.kw,,0,21304.749,active,38 Bldg 16,,Ardiya,,,Kuwait,
Al-Qadi Household 2,,CUST-1058,0.000,+965 87559960,alqadi.household58@example.com.kw,,90,28158.458,active,,,Salmiya,,,Kuwait,
Nasser Al-Hajeri  Est. 2,,CUST-1059,1461.356,+965 97746519,nasser.alhajeri59@example.com.kw,,15,17045.734,active,9 St 17,,Rai,,,Kuwait,
al-ghanim home repairs  est. 2,,CUST-1060,0.000,+965 75102313,alghanim.home.repairs60@example.com.kw,,45,38747.799,active,69 Block 3,,Rai,,,Kuwait,Imported opening balance
Al-Bahar Property Services  Est. 2,,CUST-1061,3949.927,+965 75463414,albahar.property.services61@example.com.kw,,90,34984.514,active,58 St 14,,Farwaniya,,,Kuwait,Imported opening balance
Gulf Facility Management  Est. 2,,CUST-1062,"6,249.745",+965 89006614,gulf.facility.management62@example.com.kw,,60,21231.915,active,82 Block 5,,Salmiya,,,Kuwait,Imported opening balance
CONTINENTAL MAINTENANCE CO.  EST. 2  ,,CUST-1063,2146.702,+965 94040345,continental.maintenance.co.63@example.com.kw,,90,28698.789,active,49 St 9,,Farwaniya,,,Kuwait,
Al-Zamil Villas 2,,CUST-1064,KWD 0.000,+965 93266392,alzamil.villas64@example.com.kw,,45,24700.304,active,48 St 15,,Fahaheel,,,Kuwait,
Bin Hindi Property  Est. 2,,CUST-1065,KWD 6468.844,+965 94055653,bin.hindi.property65@example.com.kw,,30,39513.099,active,60 Block 18,,Ahmadi,,,Kuwait,Imported opening balance
Al-Wazzan Maintenance 2,,CUST-1066,0.000,+965 67180696,alwazzan.maintenance66@example.com.kw,,0,42005.758,active,86 Block 13,,Hawally,,,Kuwait,Imported opening balance
Al-Marzouq Home  Est. 2,,CUST-1067,6868.298,+965 57995089,almarzouq.home67@example.com.kw,,60,"27,943.610",active,79 Block 9,,Shuwaikh,,,Kuwait,
Farwaniya Fix-It Center 2,,CUST-1068,6346.411,+965 81598615,farwaniya.fixit.center68@example.com.kw,,0,5904.514,active,75 Bldg 10,,Kuwait City,,,Kuwait,Imported opening balance
Salmiya Handyman Services 2,,CUST-1069,KD 4164.566,+965 67098207,salmiya.handyman.services69@example.com.kw,,60,KD 45629.753,active,6 St 13,,Jahra,,,Kuwait,
Hawally Repair Shop 2.,,CUST-1070,KWD 0.000,+965 87356879,hawally.repair.shop70@example.com.kw,,45,14238.369,active,22 St 20,,Fahaheel,,,Kuwait,Imported opening balance
Jahra Building Supplies Buyer 2,,CUST-1071,0.000,+965 90794136,jahra.building.supplies.buyer71@example.com.kw,,90,10442.381,active,20 Bldg 6,,Ardiya,,,Kuwait,
Ahmadi Villa Care  Est. 2,,CUST-1072,0.000,+965 58516300,ahmadi.villa.care72@example.com.kw,,45,24833.118,active,6 Block 11,,Kuwait City,,,Kuwait,
Fahaheel Home Services 2,,CUST-1073,KWD 1855.145,+965 55337608,fahaheel.home.services73@example.com.kw,,0,1814.021,active,95 Block 11,,Ardiya,,,Kuwait,Imported opening balance
Al-Khaled General Trading 2,,CUST-1074,6539.091,+965 63692458,alkhaled.general.trading74@example.com.kw,,30,14122.030,active,62 Block 4,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Nasser Renovation 2,,CUST-1075,0.000,+965 67669971,alnasser.renovation75@example.com.kw,,60,11896.951,active,,,Jahra,,,Kuwait,Imported opening balance
Al-Osaimi Maintenance 2,,CUST-1076,6868.566,+965 62477334,alosaimi.maintenance76@example.com.kw,,90,4130.057,active,82 Block 14,,Fahaheel,,,Kuwait,
First Gulf Interiors 2,,CUST-1077,5408.150,+965 58201698,first.gulf.interiors77@example.com.kw,,0,32437.323,active,,,Farwaniya,,,Kuwait,Imported opening balance
Al-Rashed Villas 2,,CUST-1078,2262.266,+965 78677240,alrashed.villas78@example.com.kw,,45,KD 18763.780,active,98 Block 6,,Rai,,,Kuwait,
Al-Sanea Property 2,,CUST-1079,0.000,+965 75058910,alsanea.property79@example.com.kw,,0,23789.005,active,34 St 3,,Ahmadi,,,Kuwait,
Al-Fahad Contracting 3,,CUST-1080,0.000,+965 82411266,alfahad.contracting80@example.com.kw,,60,9233.707,active,43 Block 20,,Rai,,,Kuwait,Imported opening balance
Modern Home Fix-It  Est. 3,,CUST-1081,"4,477.346",+965 86444890,modern.home.fixit81@example.com.kw,,60,19277.885,active,51 St 20,,Fahaheel,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 3,,CUST-1082,0.000,+965 85344512,alsabah.villa.services82@example.com.kw,,90,25234.785,active,43 Block 17,,Ahmadi,,,Kuwait,Imported opening balance
Bayt Al-Jomard 3,,CUST-1083,0.000,+965 52493225,bayt.aljomard83@example.com.kw,,90,5637.661,active,31 Block 3,,Hawally,,,Kuwait,Imported opening balance
  Al-Duaij Maintenance  Est. 3,,CUST-1084,4169.786,+965 93977716,alduaij.maintenance84@example.com.kw,,60,KWD 14684.189,active,52 Bldg 7,,Jahra,,,Kuwait,
Gulf Builders 3,,CUST-1085,0.000,+965 64055193,gulf.builders85@example.com.kw,,60,17306.505,active,47 St 5,,Fahaheel,,,Kuwait,
