account,debit,credit
1131 Trade Receivables,KWD 840862.915,
1141 Merchandise Inventory,223139.888,
2111 Trade Payables,,KD 639995.035
Petty Cash,350.000,
1010 Bank - NBK Current A/C,42000.000,
Bank  - KFH Current Account,KD 28500.000,
BANK GULF BANK C/A,,"6,200.000"
Retention Receivable,KD 15400.000,
Employee Advances,"3,200.000",
A/C REC - OTHER,2100.000,
Allowance for Doubtful Debts,,4500.000
Goods in Transit,9800.000,
Prepaid Rent,KD 6000.000,
Advances to Suppliers,KWD 7400.000,
Motor Vehicles,38000.000,
Accum. Dep'n - Vehicles,,"15,200.000"
Furniture and Fixtures,"12,500.000",
Accumulated Depreciation - Furniture,,5100.000
Warehouse Equipment,KWD 22000.000,
Accum Dep - Warehouse Equipment,,KD 8900.000
EOSB Provision,,KD 16500.000
PIFSS Payable,,KWD 2600.000
Other Payables,KWD 1250.000,
رأس مال المالك,,"100,000.000"
Partner Current Account,,10000.000
Suspense Account,KWD 640.000,
Sales Revenue,,KD 612400.000
Sales Returns and Allowances,KWD 8200.000,
Sales Discounts Allowed,3100.000,
Cost of Goods Sold,398600.000,
مصاريف الشحن الداخلي,9800.000,
Salaries and Wages,KD 96000.000,
Staff Indemnity Expense,"12,500.000",
Rent Expense,"42,000.000",
Utilities Expense,8100.000,
Transport and Fuel,5400.000,
Bank Charges,"1,200.000",
Depreciation Expense,KWD 29200.000,
3900 Retained Earnings,,KWD 445847.768
