account,debit,credit
Petty Cash,350.000,
1010 Bank - NBK Current A/C,42000.000,
Bank  - KFH Current Account,KD 28500.000,
BANK GULF BANK C/A,,"6,200.000"
Retention Receivable,KD 15400.000,
Employee Advances,"3,200.000",
A/C REC - OTHER,2100.000,
Allowance for Doubtful Debts,,4500.000
Goods in Transit,9800.000,
Prepaid Rent,KD 6000.000,
Prepaid Insurance,"1,800.000",
Advances to Suppliers,KWD 7400.000,
Motor Vehicles,38000.000,
Accum. Dep'n - Vehicles,,"15,200.000"
Furniture and Fixtures,"12,500.000",
Accumulated Depreciation - Furniture,,5100.000
Warehouse Equipment,KWD 22000.000,
Accum Dep - Warehouse Equipment,,KD 8900.000
Sundry Creditors,,4300.000
Accrued Salaries,,KWD 5200.000
EOSB Provision,,KD 16500.000
PIFSS Payable,,KWD 2600.000
Notes / Cheques Payable,,9100.000
Customer Advances,,KWD 3700.000
Other Payables,KWD 1250.000,
رأس مال المالك,,"100,000.000"
Partner Current Account,,10000.000
Suspense Account,KWD 640.000,
Other Debit Balances,KWD 380.000,
3900 Retained Earnings,,KWD 20.000
