sku,warehouse,quantity,unitCost,trackingType,partNumber,serialNumbers
HW-100001,Rai Branch,5,11.956,serial,CRO-42050,SN-HW-100001-1;SN-HW-100001-2;SN-HW-100001-3;SN-HW-100001-4;SN-HW-100001-5
HW-100002,Rai Branch,0,1.557,none,DEW-56834,
HW-100003,Fahaheel Branch,5,14.718,none,GUL-45880,
HW-100004,Shuwaikh Main,2,6.865,none,GUL-98887,
HW-100005,Ardiya Warehouse,1,3.669,none,,
HW-100006,Ardiya Warehouse,4,137.048,none,YAT-82895,
HW-100007,Fahaheel Branch,0,11.119,serial,YAT-62362,
HW-100008,Shuwaikh Main,4,KWD 0.583,none,STA-69715,
HW-100009,Ardiya Warehouse,5,15.460,none,BLA-29297,
HW-100010,Ardiya Warehouse,3,17.791,none,AL--14893,
HW-100011,Ardiya Warehouse,3,2.802,none,GUL-6041,
HW-100012,Shuwaikh Main,2,1.245,none,,
HW-100013,Fahaheel Branch,0,17.726,none,,
HW-100014,Fahaheel Branch,4,19.798,none,,
HW-100015,Shuwaikh Main,4,5.741,none,KAR-80084,
HW-100016,Shuwaikh Main,3,8.649,none,RID-66474,
HW-100017,Ardiya Warehouse,4,5.768,none,MAK-1056,
HW-100018,Fahaheel Branch,2,7.042,none,AL--72003,
HW-100019,Fahaheel Branch,3,129.692,batch,STA-24657,
HW-100020,Fahaheel Branch,2,14.553,none,YAT-41655,
HW-100021,Ardiya Warehouse,2,10.608,none,HIT-16960,
HW-100022,Fahaheel Branch,5,16.729,none,MAK-90925,
HW-100023,Rai Branch,0,0.351,none,HIL-28795,
HW-100024,Shuwaikh Main,4,23.751,none,HIT-60521,
HW-100025,Fahaheel Branch,2,18.438,none,KAR-74255,
HW-100026,Ardiya Warehouse,0,2.588,none,,
HW-100027,Fahaheel Branch,2,17.433,none,ING-66353,
HW-100028,Rai Branch,0,11.058,none,CRO-60369,
HW-100029,Rai Branch,0,23.505,none,SKI-36435,
HW-100030,Ardiya Warehouse,0,2.886,none,DEW-50461,
HW-100031,Rai Branch,0,22.751,none,YAT-52713,
HW-100032,Rai Branch,0,15.671,none,,
HW-100033,Rai Branch,1,8.480,none,STA-1387,
HW-100034,Rai Branch,4,14.072,none,TRU-56876,
HW-100035,Rai Branch,0,18.321,none,DEW-23062,
HW-100036,Fahaheel Branch,0,86.407,none,HIL-36543,
HW-100037,Fahaheel Branch,1,20.633,none,TOT-33039,
HW-100038,Rai Branch,2,4.218,none,MET-73787,
HW-100039,Rai Branch,0,7.544,none,BLA-55549,
HW-100040,Ardiya Warehouse,5,22.335,none,ING-83875,
HW-100041,Ardiya Warehouse,0,22.920,none,GUL-80773,
HW-100042,Rai Branch,3,14.678,none,BLA-92133,
HW-100043,Ardiya Warehouse,5,KD 13.732,none,BOS-21747,
HW-100044,Rai Branch,5,25.736,none,CRO-93729,
HW-100045,Fahaheel Branch,1,6.263,batch,STA-98700,
HW-100046,Ardiya Warehouse,4,18.676,serial,,SN-HW-100046-1;SN-HW-100046-2;SN-HW-100046-3;SN-HW-100046-4
HW-100047,Shuwaikh Main,1,13.738,none,ING-73108,
HW-100048,Rai Branch,4,19.187,none,ING-60263,
HW-100049,Ardiya Warehouse,2,15.410,none,TRU-20509,
HW-100050,Ardiya Warehouse,4,16.432,none,MAK-17394,
HW-100051,Fahaheel Branch,2,14.265,none,HIT-97146,
HW-100052,Fahaheel Branch,1,1.087,none,AL--95268,
HW-100053,Fahaheel Branch,4,24.916,none,RID-3250,
HW-100054,Shuwaikh Main,2,13.544,none,SAT-40038,
HW-100055,Rai Branch,1,1.405,none,BOS-70768,
HW-100056,Fahaheel Branch,1,0.189,none,DEW-12021,
HW-100057,Shuwaikh Main,2,3.516,none,MAK-6735,
HW-100058,Fahaheel Branch,0,KWD 13.740,none,MET-82798,
HW-100059,Shuwaikh Main,4,157.656,none,MET-89181,
HW-100060,Ardiya Warehouse,3,22.746,none,ING-77459,
HW-100061,Rai Branch,0,KWD 24.365,none,BLA-43314,
HW-100062,Fahaheel Branch,0,6.681,none,BLA-64390,
HW-100063,Shuwaikh Main,2,1.685,none,BOS-23245,
HW-100064,Shuwaikh Main,0,13.086,none,RID-83017,
HW-100065,Shuwaikh Main,1,KWD 7.252,serial,MET-64760,SN-HW-100065-1
HW-100066,Fahaheel Branch,1,18.758,none,CRO-45890,
HW-100067,Shuwaikh Main,4,21.343,none,CRO-8816,
HW-100068,Ardiya Warehouse,0,17.732,serial,TOT-53968,
HW-100069,Ardiya Warehouse,2,16.186,none,GUL-96091,
HW-100070,Shuwaikh Main,5,1.178,none,,
HW-100071,Rai Branch,0,7.793,none,TOT-92387,
HW-100072,Fahaheel Branch,1,KD 32.286,none,YAT-79456,
HW-100073,Shuwaikh Main,0,12.811,serial,HIT-54815,
HW-100074,Rai Branch,5,13.395,none,STA-8069,
HW-100075,Rai Branch,2,227.957,none,RID-48588,
HW-100076,Ardiya Warehouse,1,8.296,batch,SAT-45453,
HW-100077,Shuwaikh Main,0,13.644,none,DEW-9553,
