saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-90795,2025-11-12,Fahad Al-Otaibi 2,Fahaheel Branch,Fahaheel Branch,Bosch Cutting Disc 8mm,PCS,12,KD 9.948,,credit,2025-11-27,119.376,
SLS-90796,2026-07-24,Salmiya Handyman Services 4,Ardiya Warehouse,Ardiya Warehouse,Bosch  Flood Light 1L,pc,12,11.922,,cash,,143.064,Migrated from legacy system
SLS-90797,2026-03-31,Al-Roumi Renovation 13,Fahaheel Branch,Fahaheel Branch,Skil Electrical Cable Small,PCS,12,27.798,5.294,credit,2026-05-30,328.282,Migrated from legacy system
SLS-90798,2026-05-02, Al-Ghanim Home Repairs  Est. 12 ,Shuwaikh Main,Shuwaikh Main,Black+Decker PVC Conduit Pipe 20L,PCS,11,KWD 36.802,8.373,bank_transfer,,512.771,
SLS-90798,2026-05-02, Al-Ghanim Home Repairs  Est. 12 ,Shuwaikh Main,Shuwaikh Main,"  Gulf Star Garden Shovel 20 Gauge,",PC,6,19.664,1.662,bank_transfer,,,
SLS-90799,2026-01-30,Nasser Al-Hajeri 3,Ardiya Warehouse,Ardiya Warehouse,Sata Cement Bag 5kg,Pieces,4,16.039,,cash,,KWD 259.946,Migrated from legacy system
SLS-90799,2026-01-30,Nasser Al-Hajeri 3,Ardiya Warehouse,Ardiya Warehouse,DeWalt Wall Plug 8mm,PCS,9,18.750,,cash,,,Migrated from legacy system
SLS-90799,2026-01-30,Nasser Al-Hajeri 3,Ardiya Warehouse,Ardiya Warehouse,Makita Wood Router 1500W,PCS,5,5.550,0.710,cash,,,
SLS-90800,2026-06-16,AL-WAZZAN MAINTENANCE,Shuwaikh Main,Shuwaikh Main,Truper PVC Conduit Pipe 1200W,PCS,6,269.898,,bank_transfer,,1619.388,Migrated from legacy system
SLS-90801,2025-10-13,Al-Zamil Villas 6,Ardiya Warehouse,Ardiya Warehouse,DeWalt Construction Adhesive 20L,PC,1,9.154,,credit,2025-11-12,589.466,
SLS-90801,2025-10-13,Al-Zamil Villas 6,Ardiya Warehouse,Ardiya Warehouse, Black+Decker Door Hinge 3/8 inch .,PCS,8,29.724,,credit,2025-11-12,,Migrated from legacy system
SLS-90801,2025-10-13,Al-Zamil Villas 6,Ardiya Warehouse,Ardiya Warehouse,Metabo Flat Washer 20 Gauge,PCS,12,KD 28.567,KD 0.284,credit,2025-11-12,,
SLS-90802,2025-10-18,Al-Sanea Property  Est. 7,Ardiya Warehouse,Ardiya Warehouse,Skil Grinding Disc 3/8 inch,Pieces,1,10.205,,cash,,139.731,Migrated from legacy system
SLS-90802,2025-10-18,Al-Sanea Property  Est. 7,Ardiya Warehouse,Ardiya Warehouse,Truper Paint Thinner 25Kg,PC,2,9.647,,cash,,,
SLS-90802,2025-10-18,Al-Sanea Property  Est. 7,Ardiya Warehouse,Ardiya Warehouse,Hilti Hi-Vis Safety Vest 750W,PCS,6,18.372,,cash,,,
SLS-90803,2025-09-15,Ahmad Al-Kandari 8,Shuwaikh Main,Shuwaikh Main,gulf star cement bag 750w,PCS,12,3.256,,cash,,39.072,
SLS-90804,2026-06-29,Al-Qadi Household  Est. 8,Fahaheel Branch,Fahaheel Branch,Al-Fanar Machine Screw 4L.,pc,12,25.428,,cash,,766.890,Migrated from legacy system
SLS-90804,2026-06-29,Al-Qadi Household  Est. 8,Fahaheel Branch,Fahaheel Branch,Tolsen Door Lock 3/8 inch,PCS,6,24.808,,cash,,,Migrated from legacy system
SLS-90804,2026-06-29,Al-Qadi Household  Est. 8,Fahaheel Branch,Fahaheel Branch,Makita Spray Paint Can 2000W,PCS,11,28.446,,cash,,,Migrated from legacy system
SLS-90805,2026-07-02,Al-Marzouq Home,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Machine Screw 5kg,PCS,1,1.423,,cash,,KD 92.343,Migrated from legacy system
SLS-90805,2026-07-02,Al-Marzouq Home,Ardiya Warehouse,Ardiya Warehouse, Al-Fanar Angle Grinder 20 Gauge ,PCS,4,22.730,,cash,,,Migrated from legacy system
SLS-90806,2025-09-18,Ahmad Al-Kandari 5,Fahaheel Branch,Fahaheel Branch,Black+Decker Concrete Nail 5kg,PCS,2,32.377,,credit,2025-10-18,2156.902,
SLS-90806,2025-09-18,Ahmad Al-Kandari 5,Fahaheel Branch,Fahaheel Branch,Black+Decker Construction Adhesive 22 Gauge,PCS,7,277.100,,credit,2025-10-18,,Migrated from legacy system
SLS-90806,2025-09-18,Ahmad Al-Kandari 5,Fahaheel Branch,Fahaheel Branch,Ridgid Wood Router 25kg,PCS,12,12.704,,credit,2025-10-18,,Migrated from legacy system
SLS-90807,2025-11-03,Gulf Facility Management 7,Fahaheel Branch,Fahaheel Branch,Hitachi Pop Rivet 50kg,PCS,8,16.668,,cash,,133.344,Migrated from legacy system
SLS-90808,2026-04-11,Al-Fahad Contracting 9,Fahaheel Branch,Fahaheel Branch,Yato Thermal Insulation Sheet XL,PCS,1,23.180,,credit,2026-05-11,212.387,
SLS-90808,2026-04-11,Al-Fahad Contracting 9,Fahaheel Branch,Fahaheel Branch,Makita Enamel Paint 750W.,PCS,8,3.301,,credit,2026-05-11,,Migrated from legacy system
SLS-90808,2026-04-11,Al-Fahad Contracting 9,Fahaheel Branch,Fahaheel Branch,Makita Silicone Sealant Tube 20 Gauge,PCS,7,23.257,,credit,2026-05-11,,
SLS-90809,2026-07-23,New Kuwait Contracting 7,Ardiya Warehouse,Ardiya Warehouse,Makita Circular Saw 1 inch,Nos,4,KWD 3.951,0.410,bank_transfer,,204.241,Migrated from legacy system
SLS-90809,2026-07-23,New Kuwait Contracting 7,Ardiya Warehouse,Ardiya Warehouse,Makita Tool Kit 25kg Pieces,PCS,9,20.983,,bank_transfer,,,Migrated from legacy system
SLS-90810,2026-03-27,  Bin Hindi Property 4,Shuwaikh Main,Shuwaikh Main,Metabo Spray Paint Can 4L.,PCS,1,4.339,,cash,,4.339,
SLS-90811,2025-12-16,Ahmadi Villa Care  Est. 2,Ardiya Warehouse,Ardiya Warehouse,DeWalt Digging Spade 1kg,pcs,2,25.446,1.727,cash,,50.981,Migrated from legacy system
