SKU,Unit Cost,Main Warehouse - Shuwaikh
FLT-0001,2.590,28
FLT-0002,27.190,11
FLT-0003,23.480,25
FLT-0004,27.130,0
FLT-0005,13.590,97
FLT-0006,5.530,108
FLT-0007,21.480,118
FLT-0008,25.510,79
FLT-0009,30.260,10
FLT-0010,18.040,106
FLT-0011,17.600,34
FLT-0012,29.120,31
FLT-0013,13.240,88
FLT-0014,31.280,99
FLT-0015,37.250,51
FLT-0016,10.680,112
FLT-0017,10.750,113
FLT-0018,13.020,71
BRK-0019,20.140,46
BRK-0020,23.660,6
BRK-0021,8.150,87
BRK-0022,18.100,67
BRK-0023,31.090,113
BRK-0024,6.350,58
BRK-0025,43.780,64
BRK-0026,38.110,25
BRK-0027,34.670,99
BRK-0028,27.550,14
BRK-0029,39.720,39
BRK-0030,11.980,10
BRK-0031,37.000,68
BRK-0032,7.090,70
BRK-0033,24.450,27
BRK-0034,32.510,85
BRK-0035,20.560,15
BRK-0036,4.290,70
BRK-0037,32.290,8
BRK-0038,38.890,30
BRK-0039,24.960,112
OIL-0040,36.630,12
OIL-0041,16.910,110
OIL-0042,30.790,12
OIL-0043,33.180,13
OIL-0044,9.770,54
OIL-0045,21.620,9
OIL-0046,29.870,1
OIL-0047,41.800,21
OIL-0048,22.440,115
OIL-0049,1.590,118
OIL-0050,19.900,100
OIL-0051,8.230,7
OIL-0052,34.040,74
OIL-0053,3.970,108
OIL-0054,27.380,30
OIL-0055,12.210,79
OIL-0056,30.100,40
OIL-0057,10.390,30
OIL-0058,7.190,58
OIL-0059,21.440,12
OIL-0060,10.770,119
OIL-0061,13.900,69
OIL-0062,44.300,67
OIL-0063,37.040,84
OIL-0064,13.000,95
OIL-0065,13.350,91
OIL-0066,31.410,64
OIL-0067,40.880,11
OIL-0068,37.580,42
BAT-0069,8.530,90
BAT-0070,4.770,115
BAT-0071,20.200,46
BAT-0072,40.600,31
BAT-0073,16.890,111
BAT-0074,43.960,112
BAT-0075,9.300,100
BAT-0076,36.400,103
BAT-0077,8.430,48
BAT-0078,11.180,58
BAT-0079,37.190,28
BAT-0080,9.900,110
BAT-0081,16.770,86
BAT-0082,42.360,33
BAT-0083,6.220,93
BLT-0084,27.870,49
BLT-0085,3.430,66
BLT-0086,17.340,85
BLT-0087,28.610,15
BLT-0088,19.000,16
BLT-0089,30.420,95
BLT-0090,26.260,106
BLT-0091,13.980,74
BLT-0092,20.720,65
BLT-0093,23.920,42
BLT-0094,36.590,5
BLT-0095,19.530,24
BLT-0096,18.880,88
BLT-0097,36.480,59
BLT-0098,12.340,58
BLT-0099,21.080,107
BLT-0100,34.810,80
ELC-0101,4.870,34
ELC-0102,40.350,19
ELC-0103,31.690,8
ELC-0104,15.890,7
ELC-0105,40.860,89
ELC-0106,22.250,38
ELC-0107,24.910,102
ELC-0108,11.040,3
ELC-0109,30.600,92
ELC-0110,29.460,59
ELC-0111,12.820,58
ELC-0112,34.610,96
ELC-0113,21.960,6
ELC-0114,29.780,83
ELC-0115,38.010,30
ELC-0116,26.030,89
ELC-0117,27.860,91
ELC-0118,43.470,3
WIP-0119,30.960,50
WIP-0120,27.260,31
WIP-0121,38.490,15
WIP-0122,24.670,8
WIP-0123,38.460,13
WIP-0124,9.160,83
WIP-0125,20.450,34
WIP-0126,39.850,59
WIP-0127,16.130,41
WIP-0128,10.730,43
WIP-0129,25.680,24
WIP-0130,32.820,97
WIP-0131,35.990,28
WIP-0132,30.380,70
WIP-0133,20.010,42
WIP-0134,14.840,92
WIP-0135,6.700,97
WIP-0136,9.830,35
TYR-0137,17.200,90
TYR-0138,13.430,70
TYR-0139,29.250,13
TYR-0140,26.470,56
TYR-0141,12.480,14
TYR-0142,18.930,80
TYR-0143,8.100,38
TYR-0144,34.750,101
TYR-0145,35.240,116
TYR-0146,38.920,39
TYR-0147,43.260,97
TYR-0148,30.230,22
TYR-0149,8.310,88
TYR-0150,14.170,90
