SKU,Item Name,Category,Unit,Cost,Selling Price,Opening Qty,Barcode
FLT-0001,Oil Filter 1,Filters,Each,2.59,3.79,28,6283342331444
FLT-0002,Oil Filter 2,Filters,Each,27.19,35.87,11,6281939042955
FLT-0003,Oil Filter 3,Filters,Each,23.48,30.90,25,6282801823908
FLT-0004,Air Filter 1,Filters,Each,27.13,48.44,0,6287110082321
FLT-0005,Air Filter 2,Filters,Each,13.59,19.42,97,6282445662585
FLT-0006,Air Filter 3,Filters,Each,5.53,7.51,108,6289776552803
FLT-0007,Air Filter 4,Filters,Each,21.48,29.53,118,6282625792787
FLT-0008,Air Filter 5,Filters,Each,25.51,45.86,79,6281298737106
FLT-0009,Air Filter 6,Filters,Each,30.26,53.37,10,6284673561638
FLT-0010,Fuel Filter 1,Filters,Each,18.04,28.36,106,6282566942273
FLT-0011,Fuel Filter 2,Filters,Each,17.60,25.09,34,6289896606039
FLT-0012,Fuel Filter 3,Filters,Each,29.12,47.19,31,6285996775663
FLT-0013,Cabin Filter 1,Filters,Each,13.24,24.56,88,6283392080953
FLT-0014,Cabin Filter 2,Filters,Each,31.28,56.48,99,6281240251661
FLT-0015,Cabin Filter 3,Filters,Each,37.25,66.42,51,6282149938334
FLT-0016,Cabin Filter 4,Filters,Each,10.68,19.93,112,6288378385615
FLT-0017,Cabin Filter 5,Filters,Each,10.75,17.20,113,6282970753705
FLT-0018,Cabin Filter 6,Filters,Each,13.02,18.85,71,6287609857128
BRK-0019,Brake Pad Front 1,Brakes,Each,20.14,33.23,46,6285284391408
BRK-0020,Brake Pad Front 2,Brakes,Each,23.66,32.05,6,6284698408854
BRK-0021,Brake Pad Front 3,Brakes,Each,8.15,11.38,87,6285567816720
BRK-0022,Brake Pad Front 4,Brakes,Each,18.10,34.35,67,6285047709743
BRK-0023,Brake Pad Front 5,Brakes,Each,31.09,42.55,113,6288047877267
BRK-0024,Brake Pad Front 6,Brakes,Each,6.35,9.91,58,6288385972235
