SKU,Product Name,Brand,Category,Unit,Cost (KWD),Retail Price,Opening Qty,Expiry,Batch
LC-00001,Ohud Matte Lipstick - Fair,Ohud,Lip,Each,33.99,72.81,54,,
LC-00002,Ohud Matte Lipstick - 04 Crimson,Ohud,Lip,each,31.67,65.27,15,,
LC-00003,Ohud Matte Lipstick - 02 Rose,Ohud,Lip,Each,30.67,63.22,8,,
LC-00004,Ohud Matte Lipstick - 06 Berry,Ohud,Lipstick,each,26.60,65.50,42,,
LC-00005,Ohud Matte Lipstick - Medium,Ohud,Lip,pc,26.84,57.91,55,,
LC-00006,Lumiere Satin Lipstick - 02 Rose,Lumiere,Lipstick,Each,10.60,20.58,58,,
LC-00007,Lumiere Satin Lipstick - 01 Nude,Lumiere,Lipstick,Each,13.81,34.56,44,,
LC-00008,Lumiere Satin Lipstick - 04 Crimson,Lumiere,Lip,each,34.45,70.50,41,,
LC-00009,Velvet Skin Liquid Lip - 06 Berry,Velvet Skin,Lipstick,Each,34.18,82.55,39,,
LC-00010,Velvet Skin Liquid Lip - Medium,Velvet Skin,Lip,Each,14.92,35.96,22,,
LC-00011,Velvet Skin Liquid Lip - Fair,Velvet Skin,Lip,Each,7.22,16.21,22,,
LC-00012,Velvet Skin Liquid Lip - 02 Rose,Velvet Skin,Lipstick,Each,34.12,77.45,0,,
LC-00013,Noor Beauty Liquid Foundation - 02 Rose,Noor Beauty,Face,each,,23.46,31,2027,B3111
LC-00014,Noor Beauty Liquid Foundation - 05 Mauve,Noor Beauty,Foundation,pc,23.92,51.99,28,2027-03,B3816
LC-00015,Noor Beauty Liquid Foundation - 06 Berry,Noor Beauty,Foundation,Each,25.95,55.93,47,2027-03,B9189
LC-00016,Noor Beauty Liquid Foundation - Deep,Noor Beauty,Foundation,Each,8.20,20.04,40,2027-03,B2433
LC-00017,Ohud Cushion Foundation - 06 Berry,Ohud,Foundation,Each,19.24,45.02,5,12/2026,B8659
LC-00018,Ohud Cushion Foundation - 04 Crimson,Ohud,Face,Each,32.67,65.45,27,2026-11,B4837
LC-00019,Noor Beauty Concealer - 02 Rose,Noor Beauty,Foundation,Each,17.50,42.55,5,2027-03,B1693
LC-00020,Noor Beauty Concealer - 04 Crimson,Noor Beauty,Face,Each,33.90,62.65,20,,
LC-00008,Lumiere Satin Lipstick - 04 Crimson (refill),Lumiere,Lip,each,34.45,70.50,41,,
LC-00021,Noor Beauty Concealer - Medium,Noor Beauty,Face,each,20.62,45.16,23,2026-11,B5092
LC-00022,Lumiere Day Cream - Medium,Lumiere,Skin Care,Each,10.29,26.44,40,2027,B9055
LC-00023,Lumiere Day Cream - Fair,Lumiere,Skin Care,each,33.38,78.77,56,,
LC-00024,Lumiere Day Cream - 05 Mauve,Lumiere,Skincare,Each,14.12,30.14,29,2027-03,B4290
LC-00025,Lumiere Day Cream - Deep,Lumiere,skincare,each,13.22,34.13,47,Mar-2027,B4523
LC-00026,Lumiere Day Cream - 01 Nude,Lumiere,skincare,pc,,9.90,16,2026-11,B4246
LC-00027,Rouge Caprice Night Serum - Medium,Rouge Caprice,Skin Care,each,3.49,7.24,56,2028-01,B4307
LC-00028,Rouge Caprice Night Serum - 01 Nude,Rouge Caprice,Skin Care,Each,33.78,64.61,54,2027-03,B1351
LC-00029,Rouge Caprice Night Serum - 06 Berry,Rouge Caprice,Skin Care,Each,11.93,28.79,25,2026-11,B2271
LC-00030,Lumiere Vitamin C Serum - 06 Berry,Lumiere,Skin Care,each,16.07,31.15,12,,
LC-00031,Lumiere Vitamin C Serum - 03 Coral,Lumiere,Skin Care,pc,15.61,36.89,22,2027,B4887
LC-00032,Lumiere Vitamin C Serum - Medium,Lumiere,Skin Care,each,8.65,15.72,33,2027,B4534
LC-00033,Lumiere Vitamin C Serum - Fair,Lumiere,Skincare,each,19.94,41.39,47,2027-03,B9601
LC-00034,Lumiere Vitamin C Serum - 05 Mauve,Lumiere,Skin Care,Each,12.97,25.43,39,2026-11,B8326
LC-00035,Velvet Skin Cleanser - Fair,Velvet Skin,skincare,each,4.58,8.57,14,,
LC-00036,Velvet Skin Cleanser - 05 Mauve,Velvet Skin,Skincare,each,33.95,84.06,44,2027,B1714
LC-00037,Velvet Skin Cleanser - Medium,Velvet Skin,Skincare,Each,15.85,31.81,15,2027-03,B2502
LC-00038,Velvet Skin Cleanser - Deep,Velvet Skin,skincare,pc,4.48,8.25,48,2028-01,B7187
LC-00039,Velvet Skin Cleanser - 02 Rose,Velvet Skin,Skincare,each,,37.51,16,2027,B6981
LC-00040,Lumiere Toner - 06 Berry,Lumiere,Skincare,Each,19.25,42.51,53,2026-11,B6926
LC-00041,Lumiere Toner - Fair,Lumiere,Skincare,Each,2.55,4.90,7,Mar-2027,B4856
LC-00042,Lumiere Toner - Medium,Lumiere,Skin Care,pc,29.66,66.39,39,2027,B6987
LC-00043,Dune Eau de Parfum 50ml - 05 Mauve,Dune,Perfumes,Each,31.46,71.15,22,,
LC-00044,Dune Eau de Parfum 50ml - 03 Coral,Dune,Fragrances,Each,16.61,42.64,37,12/2026,B8808
LC-00045,Dune Eau de Parfum 50ml - 01 Nude,Dune,Perfumes,pc,7.10,14.14,8,,
LC-00046,Dune Eau de Parfum 50ml - Medium,Dune,Perfumes,Each,6.37,15.96,48,,
LC-00047,Dune Eau de Parfum 50ml - 06 Berry,Dune,Fragrance,each,21.84,44.16,42,2028-01,B3892
LC-00048,Rouge Caprice Eau de Parfum 100ml - 02 Rose,Rouge Caprice,Fragrance,Each,30.45,55.42,4,Mar-2027,B5174
LC-00049,Rouge Caprice Eau de Parfum 100ml - 06 Berry,Rouge Caprice,Perfumes,Each,33.40,86.52,57,Mar-2027,B4400
LC-00050,Ohud Body Mist - 01 Nude,Ohud,Fragrances,pc,9.92,19.73,49,2026-11,B1092
LC-00051,Ohud Body Mist - Deep,Ohud,Perfumes,each,15.52,30.03,21,,
LC-00052,Ohud Body Mist - 05 Mauve,Ohud,Fragrance,each,,67.35,19,2028-01,B1388
LC-00053,Ohud Body Mist - 04 Crimson,Ohud,Fragrances,each,31.71,71.14,13,2028-01,B7561
LC-00054,Lumiere Mascara - 03 Coral,Lumiere,Eye Makeup,each,14.66,36.44,28,,
LC-00055,Lumiere Mascara - 02 Rose,Lumiere,Eyes,Each,27.56,50.69,43,,
LC-00056,Lumiere Mascara - 04 Crimson,Lumiere,Eyes,pc,3.10,7.61,39,,
LC-00057,Lumiere Mascara - 05 Mauve,Lumiere,Eye Makeup,Each,17.64,36.13,30,,
LC-00058,Noor Beauty Eyeliner - 01 Nude,Noor Beauty,Eye Makeup,pc,7.67,16.16,24,,
LC-00059,Noor Beauty Eyeliner - Fair,Noor Beauty,Eye Makeup,Each,30.42,59.08,53,,
LC-00060,Noor Beauty Eyeliner - Deep,Noor Beauty,Eyes,Each,13.34,30.76,27,,
LC-00061,Noor Beauty Eyeliner - 02 Rose,Noor Beauty,Eyes,each,11.64,25.47,3,,
LC-00062,Noor Beauty Eyeliner - 03 Coral,Noor Beauty,Eyes,Each,13.49,28.63,36,,
LC-00063,Lumiere Eyeshadow Palette - 03 Coral,Lumiere,Eye Makeup,Each,18.72,42.62,45,,
LC-00064,Lumiere Eyeshadow Palette - 05 Mauve,Lumiere,Eye Makeup,Each,34.73,66.23,27,,
LC-00065,Lumiere Eyeshadow Palette - 02 Rose,Lumiere,Eye Makeup,Each,,22.03,3,,
LC-00066,Dune Brow Gel - 01 Nude,Dune,Eyes,Each,32.67,69.21,45,,
LC-00067,Dune Brow Gel - Fair,Dune,Eye Makeup,each,21.73,48.50,39,,
LC-00068,Dune Brow Gel - 04 Crimson,Dune,Eye Makeup,each,2.76,6.62,48,,
LC-00069,Dune Brow Gel - 03 Coral,Dune,Eye Makeup,Each,16.74,39.53,41,,
LC-00070,Dune Brow Gel - Deep,Dune,Eyes,Each,32.30,79.47,2,,
LC-00071,Velvet Skin Makeup Brush Set - 06 Berry,Velvet Skin,Tools,Each,8.28,16.25,23,,
LC-00072,Velvet Skin Makeup Brush Set - 04 Crimson,Velvet Skin,Tools,Each,15.88,36.88,39,,
