Code,Name,The Avenues,Salmiya,Hawally
LC-00001,Ohud Matte Lipstick - Fair,19,23,9
LC-00002,Ohud Matte Lipstick - 04 Crimson,1,3,10
LC-00003,Ohud Matte Lipstick - 02 Rose,27,23,20
LC-00004,Ohud Matte Lipstick - 06 Berry,3,4,18
LC-00005,Ohud Matte Lipstick - Medium,5,25,7
LC-00006,Lumiere Satin Lipstick - 02 Rose,15,3,5
LC-00007,Lumiere Satin Lipstick - 01 Nude,0,20,3
LC-00008,Lumiere Satin Lipstick - 04 Crimson,28,11,15
LC-00009,Velvet Skin Liquid Lip - 06 Berry,0,6,7
LC-00010,Velvet Skin Liquid Lip - Medium,5,0,8
LC-00011,Velvet Skin Liquid Lip - Fair,12,1,15
LC-00012,Velvet Skin Liquid Lip - 02 Rose,27,0,16
LC-00013,Noor Beauty Liquid Foundation - 02 Rose,24,9,3
LC-00014,Noor Beauty Liquid Foundation - 05 Mauve,20,16,17
LC-00015,Noor Beauty Liquid Foundation - 06 Berry,22,5,20
LC-00016,Noor Beauty Liquid Foundation - Deep,26,22,15
LC-00017,Ohud Cushion Foundation - 06 Berry,18,3,12
LC-00018,Ohud Cushion Foundation - 04 Crimson,21,8,9
LC-00019,Noor Beauty Concealer - 02 Rose,2,0,3
LC-00020,Noor Beauty Concealer - 04 Crimson,9,21,19
LC-00008,Lumiere Satin Lipstick - 04 Crimson (refill),26,15,2
LC-00021,Noor Beauty Concealer - Medium,2,7,3
LC-00022,Lumiere Day Cream - Medium,27,7,7
LC-00023,Lumiere Day Cream - Fair,27,5,12
LC-00024,Lumiere Day Cream - 05 Mauve,24,4,9
LC-00025,Lumiere Day Cream - Deep,28,23,17
LC-00026,Lumiere Day Cream - 01 Nude,2,1,15
LC-00027,Rouge Caprice Night Serum - Medium,11,19,7
LC-00028,Rouge Caprice Night Serum - 01 Nude,24,4,14
LC-00029,Rouge Caprice Night Serum - 06 Berry,12,0,16
LC-00030,Lumiere Vitamin C Serum - 06 Berry,2,23,17
LC-00031,Lumiere Vitamin C Serum - 03 Coral,27,22,16
LC-00032,Lumiere Vitamin C Serum - Medium,11,0,20
LC-00033,Lumiere Vitamin C Serum - Fair,9,15,20
LC-00034,Lumiere Vitamin C Serum - 05 Mauve,7,18,9
LC-00035,Velvet Skin Cleanser - Fair,26,4,6
LC-00036,Velvet Skin Cleanser - 05 Mauve,12,8,19
LC-00037,Velvet Skin Cleanser - Medium,22,10,18
LC-00038,Velvet Skin Cleanser - Deep,12,1,8
LC-00039,Velvet Skin Cleanser - 02 Rose,0,25,10
LC-00040,Lumiere Toner - 06 Berry,18,16,19
LC-00041,Lumiere Toner - Fair,0,16,1
LC-00042,Lumiere Toner - Medium,18,8,19
LC-00043,Dune Eau de Parfum 50ml - 05 Mauve,14,7,15
LC-00044,Dune Eau de Parfum 50ml - 03 Coral,18,13,1
LC-00045,Dune Eau de Parfum 50ml - 01 Nude,9,7,9
LC-00046,Dune Eau de Parfum 50ml - Medium,30,12,7
LC-00047,Dune Eau de Parfum 50ml - 06 Berry,13,0,16
LC-00048,Rouge Caprice Eau de Parfum 100ml - 02 Rose,26,7,18
LC-00049,Rouge Caprice Eau de Parfum 100ml - 06 Berry,24,1,13
LC-00050,Ohud Body Mist - 01 Nude,3,22,11
LC-00051,Ohud Body Mist - Deep,25,9,16
LC-00052,Ohud Body Mist - 05 Mauve,2,21,11
LC-00053,Ohud Body Mist - 04 Crimson,20,23,9
LC-00054,Lumiere Mascara - 03 Coral,2,25,15
LC-00055,Lumiere Mascara - 02 Rose,6,7,11
LC-00056,Lumiere Mascara - 04 Crimson,10,23,3
LC-00057,Lumiere Mascara - 05 Mauve,21,1,5
LC-00058,Noor Beauty Eyeliner - 01 Nude,26,0,13
LC-00059,Noor Beauty Eyeliner - Fair,30,5,1
LC-00060,Noor Beauty Eyeliner - Deep,22,10,14
LC-00061,Noor Beauty Eyeliner - 02 Rose,29,2,15
LC-00062,Noor Beauty Eyeliner - 03 Coral,9,16,8
LC-00063,Lumiere Eyeshadow Palette - 03 Coral,11,24,4
LC-00064,Lumiere Eyeshadow Palette - 05 Mauve,27,7,20
LC-00065,Lumiere Eyeshadow Palette - 02 Rose,8,23,11
LC-00066,Dune Brow Gel - 01 Nude,5,11,9
LC-00067,Dune Brow Gel - Fair,18,20,20
LC-00068,Dune Brow Gel - 04 Crimson,6,3,9
LC-00069,Dune Brow Gel - 03 Coral,4,14,7
LC-00070,Dune Brow Gel - Deep,15,10,18
LC-00071,Velvet Skin Makeup Brush Set - 06 Berry,29,25,13
LC-00072,Velvet Skin Makeup Brush Set - 04 Crimson,12,16,10
LC-00073,Velvet Skin Makeup Brush Set - 03 Coral,14,15,17
LC-00074,Velvet Skin Makeup Brush Set - 05 Mauve,11,15,0
LC-00075,Rouge Caprice Beauty Sponge - 03 Coral,15,1,20
LC-00076,Rouge Caprice Beauty Sponge - 05 Mauve,23,15,8
LC-00077,Rouge Caprice Beauty Sponge - Medium,21,23,1
LC-00078,Noor Beauty Tweezers - 01 Nude,4,17,18
LC-00079,Noor Beauty Tweezers - Fair,23,13,3
LC-00080,Dune Cushion Foundation - 04 Crimson,2,23,10
LC-00081,Dune Makeup Brush Set - Medium,29,1,12
LC-00082,Dune Night Serum - 02 Rose,14,15,6
LC-00083,Dune Concealer - Medium,4,6,2
LC-00084,Ohud Liquid Foundation - 02 Rose,25,9,9
LC-00085,Ohud Eyeliner - 02 Rose,2,14,4
LC-00086,Noor Beauty Liquid Lip - Fair,19,18,1
LC-00087,Ohud Eyeshadow Palette - Medium,8,23,3
LC-00088,Rouge Caprice Liquid Lip - Fair,11,6,16
LC-00089,Lumiere Eau de Parfum 100ml - 01 Nude,2,6,17
LC-00090,Dune Matte Lipstick - 05 Mauve,15,6,10
LC-00091,Velvet Skin Tweezers - Medium,17,10,2
LC-00092,Dune Cleanser - Fair,20,3,12
LC-00093,Rouge Caprice Day Cream - 06 Berry,7,20,12
LC-00094,Velvet Skin Matte Lipstick - 06 Berry,5,4,20
LC-00095,Noor Beauty Eyeshadow Palette - 05 Mauve,12,21,1
LC-00096,Rouge Caprice Eyeshadow Palette - 01 Nude,9,2,2
LC-00097,Noor Beauty Concealer - 03 Coral,24,4,8
LC-00098,Ohud Eau de Parfum 100ml - 01 Nude,25,15,2
LC-00099,Velvet Skin Beauty Sponge - 06 Berry,26,7,2
LC-00100,Lumiere Night Serum - Medium,1,7,13
LC-00101,Velvet Skin Makeup Brush Set - 01 Nude,22,21,14
LC-00102,Ohud Makeup Brush Set - 06 Berry,3,17,5
LC-00103,Velvet Skin Concealer - 01 Nude,28,20,9
LC-00104,Lumiere Cleanser - 02 Rose,29,25,7
LC-00105,Noor Beauty Eau de Parfum 100ml - Deep,1,2,17
