Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-00001,United Trading Est,92732337,5000,"1,609.33",Rakesh,90 days
CN-00002,Desert Interiors,52075509,2500,"211,94",Anwar,Cash
CN-00003,Oasis Builders,91933742,5000,527.11,Khaled,COD
CN-00004,Capital Engineering,92840115,,2257.57,Suresh,COD
CN-00005,Falcon Maintenance Co,67637351,1000,KWD 1781.40,Mahmoud,90 days
CN-00006,Pearl Contracting Co,58043996,2500,3622.31,Anwar,60 days
CN-00007,Fahad Real Estate,63369058,2500,"1,675.00",Suresh,Cash
CN-00008,Burgan Maintenance Co,66008421,,"1.943,41",Rakesh,60 days
CN-00009,Salmi Builders,65813649,10000,3012.86,Joseph,45 days
CN-00010,Al Manar Builders,99455375,5000,3621.80,Joseph,45 days
CN-00011,Prime Construction,93687798,5000,KWD 652.98,Mahmoud,COD
CN-00012,Sabah MEP Services,93778172,1000,293.87,Khaled,COD
CN-00013,Al Manar Trading Est,94251318,5000,560.54,Rakesh,Cash
CN-00014,Fahad Contracting Co,97909576,10000,"1.445,73",Joseph,Cash
CN-00015,Desert Contracting Co,53159906,5000,1950.08,Suresh,Cash
CN-00016,Prime Real Estate,68162013,,3132.49,Khaled,COD
CN-00017,United Construction,59378871,10000,KWD 3178.81,Mahmoud,Cash
CN-00018,Falcon Interiors,68585945,1000,302.76,Khaled,60 days
CN-00019,Kazma Engineering,55662950,,"3,321.74",Khaled,30 days
CN-00020,Pearl Contracting Co,94452914,5000,"3.266,43",Suresh,60 days
CN-00021,Sabah Interiors,61069438,2500,1672.80,Suresh,45 days
CN-00022,Capital MEP Services,97246659,,2092.70,Joseph,45 days
CN-00023,Fahad Builders,54716415,5000,KWD 1039.98,Joseph,COD
CN-00024,Al Rai Engineering,63116837,1000,2029.69,Anwar,60 days
CN-00025,Gulf Real Estate,64621738,,"3,194.18",Joseph,COD
CN-00026,Desert Contracting Co,62785506,1000,"3.546,08",Anwar,60 days
CN-00027,Desert MEP Services,55253675,,3291.11,Anwar,Cash
CN-00028,Burgan Interiors,96473691,2500,3086.10,Suresh,30 days
CN-00029,Pearl Interiors,63093937,10000,KWD 2437.85,Rakesh,60 days
CN-00030,Capital Trading Est,93289927,10000,795.98,Anwar,COD
CN-00031,Pearl Engineering,97371478,5000,721.61,Anwar,30 days
CN-00032,Sabah Real Estate,91343956,10000,"1.091,17",Anwar,COD
CN-00033,Al Manar Workshop,64620775,,684.71,Khaled,45 days
CN-00034,Marina Interiors,65762434,,3548.09,Mahmoud,30 days
CN-00035,National Interiors,98394140,1000,KWD 3415.64,Rakesh,30 days
CN-00036,Burgan Maintenance Co,63736619,1000,2206.82,Mahmoud,45 days
CN-00037,Sabah Trading Est,51917746,2500,"1,263.41",Rakesh,60 days
CN-00038,Marina Real Estate,92820569,,"3.586,61",Rakesh,Cash
CN-00039,Marina Contracting Co,99200426,,3632.80,Anwar,45 days
CN-00040,Marina MEP Services,67446328,2500,1529.21,Suresh,COD
CN-00041,Oasis Real Estate,56089250,5000,KWD 235.39,Suresh,60 days
CN-00042,Marina Real Estate,57551387,1000,682.99,Khaled,45 days
CN-00043,Fahad Construction,93323535,,345.37,Suresh,60 days
CN-00044,Kazma Trading Est,96456925,,"386,32",Mahmoud,90 days
CN-00045,Kazma Trading Est,66017895,5000,287.95,Anwar,90 days
CN-00046,Prime Construction,98970229,10000,337.06,Khaled,45 days
CN-00047,Desert Contracting Co,68674526,2500,KWD 196.35,Mahmoud,COD
CN-00048,Fahad Contracting Co,62732731,2500,2304.51,Anwar,30 days
CN-00049,Burgan MEP Services,64642946,10000,"3,604.25",Suresh,Cash
CN-00050,Gulf Real Estate,56171824,1000,"1.623,74",Suresh,Cash
CN-00051,Sabah Trading Est,58117368,2500,2972.00,Khaled,45 days
CN-00052,Salmi Interiors,91505623,2500,2779.53,Anwar,Cash
CN-00053,Marina Builders,92655364,2500,KWD 1879.89,Khaled,90 days
CN-00054,Prime Engineering,65948061,2500,1612.34,Mahmoud,60 days
CN-00055,Modern Contracting Co,65667536,10000,"2,756.48",Mahmoud,COD
CN-00056,Falcon Maintenance Co,62758989,10000,"3.027,92",Khaled,Cash
CN-00057,Marina Maintenance Co,55266248,1000,2946.26,Khaled,COD
CN-00058,Pearl Real Estate,94472875,1000,3055.46,Anwar,60 days
CN-00059,Capital Real Estate,96841207,,KWD 3043.35,Suresh,Cash
CN-00060,Oasis Real Estate,94085096,,2563.45,Suresh,Cash
CN-00061,Pearl Trading Est,52724506,5000,"1,495.43",Joseph,90 days
CN-00062,Salmi Trading Est,92980349,1000,"2.388,89",Khaled,60 days
CN-00063,National Construction,61197141,,342.98,Joseph,45 days
CN-00064,Al Manar Contracting Co,67529923,5000,1483.32,Khaled,30 days
CN-00065,Mubarak Trading Est,59902026,5000,KWD 139.98,Suresh,COD
CN-00066,National Construction,62411927,10000,209.37,Anwar,60 days
CN-00067,Prime Interiors,58198629,10000,"3,252.72",Anwar,60 days
CN-00068,Al Manar Interiors,59029734,5000,"1.977,27",Anwar,60 days
CN-00069,Marina Builders,55706655,10000,3819.58,Joseph,90 days
CN-00070,Gulf Contracting Co,92228645,2500,2925.33,Rakesh,30 days
CN-00071,Reliable Real Estate,59089835,,KWD 1921.99,Anwar,60 days
CN-00072,Fahad Construction,94046875,1000,2461.44,Khaled,60 days
CN-00073,Reliable Construction,98930428,10000,"3,206.10",Suresh,30 days
CN-00074,Prime Interiors,68907305,5000,"35,43",Joseph,COD
CN-00075,Fahad Construction,52083062,5000,1358.35,Anwar,90 days
CN-00076,Fahad MEP Services,51036778,5000,864.24,Anwar,30 days
CN-00077,Mubarak Construction,54262041,2500,KWD 3885.02,Joseph,60 days
CN-00078,Prime Maintenance Co,54294363,1000,1465.83,Rakesh,45 days
CN-00079,Pearl Engineering,98897369,10000,860.71,Khaled,45 days
CN-00080,United Trading Est,62547631,10000,"493,56",Mahmoud,60 days
CN-00081,Gulf MEP Services,66687027,2500,1147.34,Rakesh,COD
CN-00082,Falcon Interiors,93316536,10000,341.72,Joseph,90 days
CN-00083,Fahad Interiors,67317700,1000,KWD 3743.79,Rakesh,30 days
CN-00084,Burgan Builders,66814479,,3217.58,Suresh,Cash
CN-00085,Reliable Trading Est,98914214,2500,"1,078.39",Suresh,30 days
CN-00086,United Builders,69087068,,"1.042,48",Khaled,60 days
CN-00087,Kazma Maintenance Co,61580390,5000,3144.86,Mahmoud,45 days
CN-00088,Sabah Construction,57570892,1000,1259.07,Anwar,Cash
CN-00089,Capital Builders,52032295,1000,KWD 33.21,Mahmoud,60 days
CN-00090,Oasis Real Estate,68982450,10000,1386.71,Anwar,30 days
CN-00091,Al Rai Interiors,64994323,10000,"1,257.88",Mahmoud,45 days
CN-00092,Pearl MEP Services,59580805,5000,"2.967,13",Rakesh,COD
