Doc No,Account No,Customer,Value (KWD),Date,Status,Project Ref
QT-2026-0001,CN-02242,Kazma Contracting Co,"6,311.37",2026-06-06,Confirmed Order,
QT-2026-0002,CN-00080,United Trading Est,"4,596.07",2026-06-15,Confirmed Order,Warehouse
QT-2026-0003,CN-01638,Desert Interiors,"1,701.54",2026-06-11,Confirmed Order,
QT-2026-0004,CN-01164,Salmi Trading Est,669.90,2026-06-08,Confirmed Order,Maintenance
QT-2026-0005,CN-02189,Sabah Maintenance Co,"4,985.16",2026-06-14,Confirmed Order,Villa - Salwa
QT-2026-0006,CN-04140,Oasis MEP Services,"1,395.17",2026-06-15,Part-Delivered,Fit-out
QT-2026-0007,CN-00827,Gulf Trading Est,"1,288.92",2026-06-15,Quotation,Project A - Mall
QT-2026-0008,CN-04186,Burgan Builders,"6,440.99",2026-06-03,Confirmed Order,Project A - Mall
QT-2026-0009,CN-03722,United Maintenance Co,"7,884.58",2026-06-04,Part-Delivered,Maintenance
QT-2026-0010,CN-02691,Falcon Construction,"7,116.09",2026-06-15,Confirmed Order,Villa - Salwa
QT-2026-0011,CN-02226,Al Rai Maintenance Co,"1,489.51",2026-06-07,Confirmed Order,Villa - Salwa
QT-2026-0012,CN-01325,Gulf Builders,"5,031.23",2026-06-02,Part-Delivered,Project A - Mall
QT-2026-0013,CN-00718,United Builders,"9,988.35",2026-06-07,Confirmed Order,Fit-out
QT-2026-0014,CN-02230,Falcon Workshop,"3,145.83",2026-06-12,Part-Delivered,Project A - Mall
QT-2026-0015,CN-00638,Kazma Trading Est,"5,600.14",2026-06-03,Quotation,Maintenance
QT-2026-0016,CN-03661,Gulf Real Estate,"9,185.02",2026-06-03,Confirmed Order,Warehouse
QT-2026-0017,CN-00303,Pearl Engineering,297.98,2026-06-09,Quotation,Warehouse
QT-2026-0018,CN-02723,Pearl Trading Est,"7,101.54",2026-06-13,Part-Delivered,Fit-out
QT-2026-0019,CN-01344,Kazma Workshop,"3,329.06",2026-06-15,Quotation,Warehouse
QT-2026-0020,CN-00839,Kazma Trading Est,504.43,2026-06-02,Part-Delivered,Warehouse
QT-2026-0021,CN-00710,Al Rai Maintenance Co,"12,157.88",2026-06-07,Quotation,Fit-out
QT-2026-0022,CN-00104,Capital Interiors,"5,819.47",2026-06-09,Quotation,Maintenance
QT-2026-0023,CN-01174,Mubarak Builders,"10,510.16",2026-06-13,Confirmed Order,Villa - Salwa
QT-2026-0024,CN-03656,Falcon Interiors,"4,176.15",2026-06-09,Quotation,Villa - Salwa
QT-2026-0025,CN-04176,Pearl Interiors,"6,750.13",2026-06-12,Confirmed Order,Project A - Mall
QT-2026-0026,CN-02596,Capital Interiors,"10,119.80",2026-06-05,Confirmed Order,Fit-out
QT-2026-0027,CN-03833,Salmi Real Estate,"1,178.36",2026-06-09,Part-Delivered,
QT-2026-0028,CN-02419,United Maintenance Co,918.19,2026-06-02,Part-Delivered,Fit-out
QT-2026-0029,CN-04157,Falcon Engineering,"1,409.27",2026-06-12,Part-Delivered,Project A - Mall
QT-2026-0030,CN-03723,Mubarak Trading Est,"10,097.21",2026-06-02,Confirmed Order,Villa - Salwa
QT-2026-0031,CN-02011,Burgan MEP Services,"7,297.27",2026-06-10,Part-Delivered,Maintenance
QT-2026-0032,CN-03466,Sabah Builders,"13,781.11",2026-06-09,Quotation,
QT-2026-0033,CN-02724,Sabah Maintenance Co,"12,839.12",2026-06-13,Quotation,
QT-2026-0034,CN-00403,Pearl Maintenance Co,"3,279.38",2026-06-14,Confirmed Order,Project A - Mall
QT-2026-0035,CN-01871,Al Rai MEP Services,"1,704.64",2026-06-10,Confirmed Order,Project A - Mall
QT-2026-0036,CN-03694,United Contracting Co,"5,770.48",2026-06-15,Part-Delivered,
QT-2026-0037,CN-01839,Al Rai Workshop,"7,909.12",2026-06-12,Confirmed Order,
QT-2026-0038,CN-02843,United Engineering,"11,835.50",2026-06-15,Quotation,Fit-out
QT-2026-0039,CN-00381,Burgan Workshop,"1,539.50",2026-06-12,Quotation,
QT-2026-0040,CN-03453,Kazma Trading Est,"8,366.71",2026-06-03,Quotation,Maintenance
QT-2026-0041,CN-03514,Kazma Real Estate,429.20,2026-06-04,Confirmed Order,Maintenance
QT-2026-0042,CN-02183,Falcon Trading Est,"4,555.87",2026-06-01,Confirmed Order,Fit-out
QT-2026-0043,CN-01620,Mubarak Builders,"8,321.61",2026-06-10,Part-Delivered,Project A - Mall
QT-2026-0044,CN-01900,Burgan Contracting Co,"6,102.54",2026-06-02,Part-Delivered,Project A - Mall
QT-2026-0045,CN-01863,Al Rai Engineering,"9,278.64",2026-06-12,Quotation,
QT-2026-0046,CN-02585,Oasis Interiors,"4,873.09",2026-06-13,Part-Delivered,Maintenance
QT-2026-0047,CN-01842,National Interiors,"11,224.51",2026-06-10,Quotation,Maintenance
QT-2026-0048,CN-03828,Modern Maintenance Co,"9,121.89",2026-06-07,Quotation,Warehouse
QT-2026-0049,CN-04121,United Real Estate,"10,485.77",2026-06-15,Confirmed Order,Warehouse
