Code,Name,Shuwaikh WH,Ardiya Store,Fahaheel Store,Jahra Store,Central Warehouse
HAND-000001,Pliers 12mm,8,11,13,15,29
GARD-000002,Garden Hose 3/4in,42,25,34,21,4
HAND-000003,Spanner Set 3/4in,4,23,21,23,10
GARD-000004,Shovel 6mm,31,4,43,32,19
PLUM-000005,Pipe Clamp Small,20,0,42,14,38
MEAS-000006,Caliper Large,3,19,27,36,14
FAST-000007,Wood Screw Red,43,38,29,23,25
SAFE-000008,Safety Helmet Pro,24,0,28,33,32
WELD-000009,Welding Rod 150mm,4,35,8,35,26
HAND-000010,Hammer 3/4in,0,19,9,16,17
ADHE-000011,Epoxy 25kg,29,12,1,0,44
ADHE-000012,Super Glue Red,5,30,32,17,10
ABRA-000013,Wire Brush Small,18,25,21,31,13
ADHE-000014,Epoxy Pro,32,45,26,10,26
FAST-000015,Machine Bolt Pro,18,17,21,16,27
ABRA-000016,Grinding Wheel Medium,38,38,0,40,29
ADHE-000017,Wood Glue 3/4in,5,38,17,4,41
POWR-000018,Heat Gun 3/4in,5,23,9,31,19
HAND-000019,Chisel 10mm,8,1,45,31,6
WELD-000020,Welding Wire Blue,28,28,27,26,2
PAINT-000021,Thinner 10mm,17,29,20,44,18
ABRA-000022,Grinding Wheel 100mm,32,26,11,40,7
ELEC-000023,Wall Socket 100mm,2,12,27,18,17
WELD-000024,Welding Mask 5L,11,41,16,16,1
POWR-000025,Impact Driver Heavy Duty,13,31,35,0,26
ABRA-000026,Cutting Disc Large,39,2,44,27,17
ELEC-000027,Wall Socket Box of 100,29,36,21,7,29
POWR-000028,Circular Saw 8mm,10,39,23,32,38
POWR-000029,Circular Saw 3/4in,38,10,5,28,39
FAST-000030,Machine Bolt Heavy Duty,14,14,1,26,31
PAINT-000031,Thinner Heavy Duty,27,13,41,41,42
PLUM-000032,Flexible Hose Blue,0,16,19,6,31
HAND-000033,Hand Saw 3/4in,41,6,4,0,11
FAST-000034,Rivet 5L,13,1,22,27,35
MEAS-000035,Laser Measure 8mm,36,24,10,13,6
WELD-000036,Welding Rod 1/2in,37,17,14,4,22
ABRA-000037,Flap Disc Yellow,18,14,22,44,18
PAINT-000038,Brush Medium,28,5,43,5,34
ADHE-000039,Silicone Sealant 5L,0,15,30,33,16
GARD-000040,Garden Hose 6mm,5,16,7,29,39
HAND-000041,Pliers 150mm,9,20,9,16,34
PLUM-000042,Pipe Fitting Yellow,7,8,28,20,40
