Cheque No,Account No,Customer,Bank,Amount,Cheque Date,Status
CHQ-738453,CN-01708,Gulf Builders,Boubyan,"7,517.27",2026-07-14,Cleared
CHQ-381730,CN-01821,Pearl Builders,Gulf Bank,"2,329.03",2026-10-01,On Hand
CHQ-118677,CN-04134,Fahad Interiors,KFH,"6,665.93",2026-09-16,On Hand
CHQ-719670,CN-03039,National Contracting Co,Boubyan,"2,683.02",2026-10-15,On Hand
CHQ-899148,CN-01970,United Real Estate,Burgan Bank,"7,709.32",2026-07-20,Deposited
CHQ-273777,CN-03914,Al Manar MEP Services,NBK,"2,590.43",2026-11-07,Cleared
CHQ-378817,CN-03699,Al Rai Workshop,Gulf Bank,"3,010.58",2026-06-26,On Hand
CHQ-854617,CN-00648,Pearl Contracting Co,Burgan Bank,"5,707.84",2026-12-07,Deposited
CHQ-588671,CN-02642,Gulf MEP Services,Gulf Bank,897.76,2026-09-11,On Hand
CHQ-561365,CN-00021,Sabah Interiors,Boubyan,"7,503.94",2026-12-09,On Hand
CHQ-964389,CN-02767,Burgan Real Estate,Boubyan,"1,448.58",2026-09-06,On Hand
CHQ-264982,CN-00812,Marina Contracting Co,Warba,"3,537.80",2026-10-12,On Hand
CHQ-576757,CN-02865,Salmi Builders,Warba,"4,169.77",2026-09-14,On Hand
CHQ-140168,CN-02471,Oasis Builders,Warba,"4,084.82",2026-07-23,On Hand
CHQ-351432,CN-00954,United Construction,Gulf Bank,"1,385.65",2026-08-28,Deposited
CHQ-991225,CN-03087,Al Rai Workshop,Burgan Bank,"5,219.41",2026-12-09,On Hand
CHQ-535347,CN-03497,Salmi Maintenance Co,Burgan Bank,"4,171.79",2026-07-11,Deposited
CHQ-579896,CN-01456,Mubarak MEP Services,Gulf Bank,"5,888.32",2026-07-16,Cleared
CHQ-749605,CN-02492,Mubarak Workshop,Burgan Bank,"4,065.66",2026-07-14,Deposited
CHQ-352809,CN-01271,National Maintenance Co,Gulf Bank,"1,484.73",2026-08-08,Cleared
CHQ-328999,CN-02531,Prime Contracting Co,Boubyan,"3,792.63",2026-12-16,Deposited
CHQ-186630,CN-00619,Reliable Workshop,NBK,"2,572.15",2026-07-05,Cleared
CHQ-936292,CN-01190,Desert Workshop,Boubyan,396.08,2026-09-03,Cleared
CHQ-747271,CN-02681,Capital Interiors,Warba,"6,227.31",2026-09-12,Deposited
CHQ-897506,CN-00233,Al Manar Maintenance Co,Boubyan,"8,726.87",2026-06-14,Deposited
CHQ-407213,CN-02440,Reliable Interiors,Gulf Bank,590.46,2026-12-16,Deposited
CHQ-378339,CN-00543,Gulf Engineering,KFH,"2,304.93",2026-06-12,Cleared
CHQ-768696,CN-01324,Capital Workshop,NBK,568.64,2026-06-09,Cleared
CHQ-596961,CN-01769,Oasis Engineering,Boubyan,241.05,2026-10-05,Deposited
CHQ-508400,CN-02742,Gulf Contracting Co,Gulf Bank,954.79,2026-11-12,Deposited
CHQ-768325,CN-02313,Fahad Engineering,Warba,"4,552.64",2026-11-28,Deposited
CHQ-812892,CN-01139,United Builders,KFH,"1,648.56",2026-10-07,Deposited
CHQ-620278,CN-00694,Reliable Builders,NBK,"1,022.09",2026-11-07,Cleared
CHQ-575883,CN-03471,Sabah Construction,Boubyan,"5,528.24",2026-11-16,Cleared
CHQ-319881,CN-01311,Oasis Workshop,Gulf Bank,354.96,2026-10-27,On Hand
CHQ-996397,CN-01224,Modern Workshop,Gulf Bank,"3,184.51",2026-12-17,Deposited
CHQ-187623,CN-00738,National Workshop,Burgan Bank,"4,722.72",2026-09-10,Cleared
CHQ-948614,CN-01258,Al Manar Construction,Gulf Bank,"7,661.70",2026-09-11,Deposited
CHQ-354975,CN-00730,Prime Construction,Gulf Bank,"2,234.78",2026-09-16,On Hand
CHQ-483458,CN-00283,Prime Trading Est,Warba,"7,491.26",2026-08-17,Deposited
CHQ-747253,CN-02018,Modern Trading Est,Gulf Bank,"4,190.67",2026-11-05,Deposited
CHQ-477926,CN-00009,Salmi Builders,Boubyan,370.31,2026-10-06,On Hand
CHQ-633307,CN-02985,Fahad Maintenance Co,Boubyan,"1,926.69",2026-08-16,On Hand
CHQ-686832,CN-00244,United Real Estate,KFH,"3,256.30",2026-11-18,Deposited
CHQ-225930,CN-02473,National Maintenance Co,Gulf Bank,"3,188.07",2026-07-02,Deposited
CHQ-905833,CN-00627,Desert Builders,Warba,"1,441.61",2026-06-05,Cleared
CHQ-153178,CN-04176,Pearl Interiors,KFH,"7,786.03",2026-12-21,On Hand
CHQ-711242,CN-00543,Gulf Engineering,KFH,"3,107.61",2026-09-17,Deposited
CHQ-436020,CN-03086,Fahad Contracting Co,NBK,"5,718.81",2026-07-14,Deposited
CHQ-846600,CN-02037,Gulf Interiors,Warba,"5,528.30",2026-08-26,Deposited
CHQ-580277,CN-02773,Marina Maintenance Co,KFH,"4,571.65",2026-09-17,Cleared
CHQ-624945,CN-00063,National Construction,NBK,"3,532.49",2026-09-11,On Hand
CHQ-793637,CN-01505,Fahad Maintenance Co,Burgan Bank,"5,303.86",2026-10-28,Deposited
CHQ-706480,CN-01196,Al Rai Interiors,NBK,"7,212.74",2026-10-26,Cleared
CHQ-277477,CN-02614,Falcon Contracting Co,Boubyan,"1,740.48",2026-07-17,Cleared
CHQ-539279,CN-00349,Salmi Maintenance Co,Gulf Bank,"3,381.77",2026-06-02,Cleared
CHQ-348858,CN-03612,Marina Builders,Boubyan,"8,867.87",2026-06-08,Deposited
CHQ-362265,CN-01952,Capital Engineering,Warba,"6,560.59",2026-06-16,Cleared
CHQ-280173,CN-04099,Reliable Trading Est,Gulf Bank,"4,726.27",2026-12-20,On Hand
CHQ-762509,CN-03775,Marina Interiors,Gulf Bank,926.65,2026-08-17,Cleared
CHQ-396410,CN-03513,Burgan MEP Services,Gulf Bank,"4,789.70",2026-08-26,Cleared
CHQ-599668,CN-03038,Modern Contracting Co,Warba,"3,589.38",2026-12-09,On Hand
CHQ-356543,CN-03402,Sabah Engineering,NBK,"6,488.83",2026-11-08,Deposited
CHQ-353068,CN-00566,Oasis Builders,KFH,422.72,2026-11-23,On Hand
CHQ-468731,CN-01504,Marina Engineering,Boubyan,"6,160.10",2026-12-03,Cleared
CHQ-947273,CN-02518,Burgan Workshop,NBK,"3,632.03",2026-10-23,Deposited
CHQ-217257,CN-02227,Oasis Real Estate,KFH,"5,286.81",2026-08-25,Cleared
CHQ-451063,CN-00835,Falcon Real Estate,NBK,832.32,2026-12-15,On Hand
CHQ-546196,CN-03010,Gulf Interiors,KFH,"5,819.54",2026-12-28,Deposited
CHQ-556487,CN-02635,Al Rai Engineering,KFH,"2,635.14",2026-10-27,On Hand
