Vendor Code,Supplier Name,Phone,Outstanding
V-0001,Kazma Supplies,23795096,13664.88
V-0002,Mubarak Distribution,28602217,27270.82
V-0003,Pearl Hardware Co,28617626,33380.77
V-0004,National Supplies,29031207,40315.67
V-0005,Pearl Distribution,22553430,35744.15
V-0006,Marina Distribution,27028839,30981.73
V-0007,Desert Industrial,28610713,662.20
V-0008,Kazma Imports,24709424,34032.13
V-0009,Desert Supplies,25813691,37986.91
V-0010,Gulf Hardware Co,28548144,8473.68
V-0011,Kazma Industrial,28231315,33741.80
V-0012,United Imports,27411573,20196.00
V-0013,Gulf Industrial,29070597,10113.89
V-0014,Reliable Distribution,26002203,18527.30
V-0015,Gulf Hardware Co,27253216,11080.01
V-0016,Burgan Imports,25219618,3288.54
V-0017,Capital Industrial,25992148,3736.10
V-0018,Salmi Distribution,25260158,29024.76
V-0019,Prime Hardware Co,22303877,38899.76
V-0020,Reliable Hardware Co,22598454,2614.25
V-0021,Fahad Distribution,23478891,39414.84
V-0022,Pearl Imports,27187258,13110.26
V-0023,Modern Hardware Co,24647185,36220.92
V-0024,Fahad Imports,28816041,25499.58
V-0025,Gulf Hardware Co,26162107,20716.06
V-0026,Al Rai Distribution,29619001,28679.25
V-0027,Gulf Industrial,25932904,1428.78
V-0028,Capital Industrial,29366713,17153.57
V-0029,Desert Imports,27244946,13344.96
V-0030,National Imports,24130359,18606.32
V-0031,Mubarak Imports,28306752,20934.64
V-0032,Capital Distribution,25795474,12211.04
V-0033,Al Manar Imports,27662530,34542.31
V-0034,Pearl Distribution,24594858,29118.60
V-0035,Reliable Imports,24459429,41304.49
V-0036,Salmi Hardware Co,29814408,5935.86
V-0037,Gulf Industrial,23514458,35092.44
V-0038,Reliable Distribution,29263709,38173.83
V-0039,Capital Hardware Co,28671220,14394.84
V-0040,Modern Hardware Co,27094031,8654.65
V-0041,Burgan Imports,29657625,4737.10
V-0042,Capital Supplies,28154144,22668.01
V-0043,Reliable Distribution,28173270,28504.67
V-0044,Modern Imports,24870379,19872.10
V-0045,Gulf Hardware Co,23236237,12334.00
V-0046,National Industrial,26757273,41331.28
V-0047,Pearl Supplies,26632885,40870.95
V-0048,Falcon Imports,28250722,26573.59
V-0049,Pearl Industrial,28420166,1427.15
V-0050,Pearl Hardware Co,24234830,15519.23
V-0051,Pearl Industrial,29352435,36830.56
V-0052,Pearl Imports,26410943,23917.41
V-0053,Marina Distribution,28666907,17745.98
V-0054,Al Rai Distribution,29873070,8366.11
V-0055,Al Manar Supplies,23571648,41102.68
V-0056,Mubarak Hardware Co,28932292,13134.92
V-0057,Marina Distribution,26187816,27416.28
V-0058,Mubarak Hardware Co,29187534,28371.72
V-0059,Al Manar Hardware Co,29135011,33833.39
V-0060,Burgan Hardware Co,27501880,29211.63
V-0061,Desert Distribution,25999440,21448.15
V-0062,Oasis Imports,28802082,2682.34
V-0063,Al Manar Imports,27697148,11219.54
V-0064,Pearl Supplies,29423391,23641.47
V-0065,Capital Hardware Co,25449117,6771.51
V-0066,Falcon Imports,24783257,40011.84
V-0067,Pearl Supplies,25102863,12541.55
V-0068,Prime Distribution,23087252,6569.09
V-0069,Desert Hardware Co,26483010,40436.19
V-0070,Al Rai Supplies,27540833,29704.11
V-0071,Al Manar Distribution,22490621,11222.38
V-0072,Al Manar Supplies,23612541,33986.10
V-0073,Falcon Hardware Co,24774102,4997.12
V-0074,Al Rai Imports,27782341,21049.97
V-0075,Sabah Industrial,25303649,3279.32
V-0076,Desert Supplies,22978193,8786.37
V-0077,Fahad Supplies,23177431,36792.88
V-0078,National Industrial,22790978,17703.01
V-0079,Capital Industrial,28353594,26657.91
V-0080,Al Rai Imports,25587897,24686.07
V-0081,Marina Imports,28420444,6580.71
V-0082,Fahad Industrial,24251951,35954.78
V-0083,Kazma Industrial,22205408,8630.94
V-0084,Sabah Industrial,29549761,32818.27
V-0085,United Supplies,24530673,29087.30
V-0086,Sabah Industrial,27771330,20543.11
V-0087,Prime Supplies,29888068,39150.83
V-0088,Modern Industrial,23069862,8198.12
V-0089,Fahad Supplies,22008014,9359.52
V-0090,Al Rai Hardware Co,25887458,39941.69
V-0091,National Industrial,26663238,41550.07
V-0092,Reliable Imports,24888114,41926.19
V-0093,Kazma Hardware Co,22620883,8092.20
V-0094,Burgan Industrial,24750203,1407.13
V-0095,Sabah Distribution,23214967,18230.51
V-0096,Burgan Imports,23011214,21274.16
V-0097,Fahad Hardware Co,26277421,13883.45
V-0098,Prime Supplies,28186175,15254.35
V-0099,Burgan Distribution,29535156,14631.79
V-0100,Mubarak Imports,22173626,12099.49
