Name (primary),Name (secondary),SKU,Barcode,Category Code,Tax Group,Cost,Sell Price,Base Unit,Brand,Reorder Level,Wholesale Price
Cambodi Oud Oil 1,,OUD-0001,6285225583035,OUD,Standard 5%,148.06,250.20,Each,,10,
Cambodi Oud Oil 2,,OUD-0002,6285434949340,OUD,Standard 5%,188.75,262.14,Each,,10,
Cambodi Oud Oil 3,,OUD-0003,6287939982489,OUD,Standard 5%,151.31,326.46,Each,,10,
Cambodi Oud Oil 4,,OUD-0004,6285421555596,OUD,Standard 5%,85.85,173.85,Each,,10,
Cambodi Oud Oil 5,,OUD-0005,6284894003809,OUD,Standard 5%,210.75,317.42,Each,,10,
Cambodi Oud Oil 6,,OUD-0006,6281462314661,OUD,Standard 5%,217.07,446.59,Each,,10,
Cambodi Oud Oil 7,,OUD-0007,6288230127578,OUD,Standard 5%,124.44,268.72,Each,,10,
Hindi Oud Chips 1,,OUD-0008,6285776109188,OUD,Standard 5%,201.26,440.03,Each,,10,
Hindi Oud Chips 2,,OUD-0009,6287826505933,OUD,Standard 5%,199.68,364.78,Each,,10,
Hindi Oud Chips 3,,OUD-0010,6288572100156,OUD,Standard 5%,217.85,388.00,Each,,10,
Hindi Oud Chips 4,,OUD-0011,6284375707346,OUD,Standard 5%,146.14,320.06,Each,,10,
Hindi Oud Chips 5,,OUD-0012,6283944432218,OUD,Standard 5%,219.34,471.09,Each,,10,
Hindi Oud Chips 6,,OUD-0013,6282195242038,OUD,Standard 5%,77.44,140.08,Each,,10,
Royal Oud Blend 1,,OUD-0014,6285525011813,OUD,Standard 5%,132.32,204.30,Each,,10,
Royal Oud Blend 2,,OUD-0015,6288364325288,OUD,Standard 5%,106.56,193.39,Each,,10,
Royal Oud Blend 3,,OUD-0016,6284370918471,OUD,Standard 5%,61.59,124.39,Each,,10,
Royal Oud Blend 4,,OUD-0017,6289922120235,OUD,Standard 5%,31.84,55.88,Each,,10,
Royal Oud Blend 5,,OUD-0018,6287212460047,OUD,Standard 5%,115.46,230.70,Each,,10,
Royal Oud Blend 6,,OUD-0019,6287015584813,OUD,Standard 5%,88.86,169.05,Each,,10,
Malaysian Oud Oil 1,,OUD-0020,6287668481027,OUD,Standard 5%,75.27,128.13,Each,,10,
Malaysian Oud Oil 2,,OUD-0021,6281535075512,OUD,Standard 5%,94.65,188.24,Each,,10,
Malaysian Oud Oil 3,,OUD-0022,6288764818806,OUD,Standard 5%,207.45,351.45,Each,,10,
Malaysian Oud Oil 4,,OUD-0023,6289800014033,OUD,Standard 5%,63.30,107.19,Each,,10,
Malaysian Oud Oil 5,,OUD-0024,6282941088763,OUD,Standard 5%,66.07,141.83,Each,,10,
Malaysian Oud Oil 6,,OUD-0025,6285902453334,OUD,Standard 5%,135.11,267.11,Each,,10,
Rose Attar 1,,ATR-0026,6281007933421,ATR,Standard 5%,24.86,44.07,Each,,10,
Rose Attar 2,,ATR-0027,6289635180096,ATR,Standard 5%,149.42,258.59,Each,,10,
Rose Attar 3,,ATR-0028,6281578263426,ATR,Standard 5%,120.38,237.85,Each,,10,
Rose Attar 4,,ATR-0029,6286178308626,ATR,Standard 5%,182.25,331.21,Each,,10,
Rose Attar 5,,ATR-0030,6282741614975,ATR,Standard 5%,207.55,430.84,Each,,10,
Sandalwood Attar 1,,ATR-0031,6289922871581,ATR,Standard 5%,216.56,317.02,Each,,10,
Sandalwood Attar 2,,ATR-0032,6283202825652,ATR,Standard 5%,49.18,73.14,Each,,10,
Sandalwood Attar 3,,ATR-0033,6288900665877,ATR,Standard 5%,215.41,442.39,Each,,10,
Sandalwood Attar 4,,ATR-0034,6281892822592,ATR,Standard 5%,56.89,109.67,Each,,10,
Sandalwood Attar 5,,ATR-0035,6281478975860,ATR,Standard 5%,178.48,272.58,Each,,10,
Sandalwood Attar 6,,ATR-0036,6281070799176,ATR,Standard 5%,197.96,363.19,Each,,10,
Sandalwood Attar 7,,ATR-0037,6282278421667,ATR,Standard 5%,48.27,79.29,Each,,10,
Jasmine Attar 1,,ATR-0038,6281406834543,ATR,Standard 5%,119.39,241.63,Each,,10,
Jasmine Attar 2,,ATR-0039,6281356190043,ATR,Standard 5%,9.87,13.97,Each,,10,
Jasmine Attar 3,,ATR-0040,6288469864898,ATR,Standard 5%,169.33,328.11,Each,,10,
Jasmine Attar 4,,ATR-0041,6283529802439,ATR,Standard 5%,69.09,131.12,Each,,10,
Musk Attar 1,,ATR-0042,6282404244990,ATR,Standard 5%,43.11,59.52,Each,,10,
Musk Attar 2,,ATR-0043,6284820409986,ATR,Standard 5%,158.17,221.10,Each,,10,
Musk Attar 3,,ATR-0044,6287079808282,ATR,Standard 5%,143.46,234.87,Each,,10,
Musk Attar 4,,ATR-0045,6283922968520,ATR,Standard 5%,17.56,28.28,Each,,10,
Musk Attar 5,,ATR-0046,6285046731265,ATR,Standard 5%,13.55,23.08,Each,,10,
Musk Attar 6,,ATR-0047,6288505404419,ATR,Standard 5%,45.32,80.24,Each,,10,
Oud Royale EDP 1,,PRF-0048,6281111402551,PRF,Standard 5%,179.06,378.28,Each,,10,
Oud Royale EDP 2,,PRF-0049,6286280567538,PRF,Standard 5%,92.76,150.54,Each,,10,
Oud Royale EDP 3,,PRF-0050,6281245721714,PRF,Standard 5%,170.88,344.67,Each,,10,
Oud Royale EDP 4,,PRF-0051,6281929236251,PRF,Standard 5%,56.82,114.10,Each,,10,
Oud Royale EDP 5,,PRF-0052,6281849237605,PRF,Standard 5%,206.00,416.86,Each,,10,
Amber Musk EDP 1,,PRF-0053,6282326512437,PRF,Standard 5%,27.58,52.20,Each,,10,
Amber Musk EDP 2,,PRF-0054,6286028166203,PRF,Standard 5%,68.05,95.82,Each,,10,
Amber Musk EDP 3,,PRF-0055,6287953575105,PRF,Standard 5%,166.87,350.56,Each,,10,
Amber Musk EDP 4,,PRF-0056,6283973747378,PRF,Standard 5%,68.50,120.13,Each,,10,
Amber Musk EDP 5,,PRF-0057,6287081757516,PRF,Standard 5%,185.24,383.96,Each,,10,
Amber Musk EDP 6,,PRF-0058,6281982946691,PRF,Standard 5%,189.44,371.95,Each,,10,
White Oud EDP 1,,PRF-0059,6284969159960,PRF,Standard 5%,219.65,454.90,Each,,10,
White Oud EDP 2,,PRF-0060,6282277787083,PRF,Standard 5%,64.81,128.02,Each,,10,
