SKU,Unit Cost,Main Warehouse - Deira
OUD-0001,148.06,35
OUD-0002,188.75,33
OUD-0003,151.31,44
OUD-0004,85.85,24
OUD-0005,210.75,1
OUD-0006,217.07,75
OUD-0007,124.44,2
OUD-0008,201.26,47
OUD-0009,199.68,22
OUD-0010,217.85,66
OUD-0011,146.14,69
OUD-0012,219.34,69
OUD-0013,77.44,74
OUD-0014,132.32,69
OUD-0015,106.56,76
OUD-0016,61.59,70
OUD-0017,31.84,1
OUD-0018,115.46,36
OUD-0019,88.86,35
OUD-0020,75.27,42
OUD-0021,94.65,41
OUD-0022,207.45,27
OUD-0023,63.30,71
OUD-0024,66.07,0
OUD-0025,135.11,70
ATR-0026,24.86,64
ATR-0027,149.42,13
ATR-0028,120.38,20
ATR-0029,182.25,53
ATR-0030,207.55,58
ATR-0031,216.56,64
ATR-0032,49.18,8
ATR-0033,215.41,45
ATR-0034,56.89,61
ATR-0035,178.48,28
ATR-0036,197.96,60
ATR-0037,48.27,38
ATR-0038,119.39,38
ATR-0039,9.87,41
ATR-0040,169.33,71
ATR-0041,69.09,52
ATR-0042,43.11,62
ATR-0043,158.17,42
ATR-0044,143.46,13
ATR-0045,17.56,6
ATR-0046,13.55,65
ATR-0047,45.32,11
PRF-0048,179.06,15
PRF-0049,92.76,57
PRF-0050,170.88,73
PRF-0051,56.82,54
PRF-0052,206.00,45
PRF-0053,27.58,45
PRF-0054,68.05,34
PRF-0055,166.87,12
PRF-0056,68.50,77
PRF-0057,185.24,35
PRF-0058,189.44,41
PRF-0059,219.65,5
PRF-0060,64.81,34
PRF-0061,125.50,36
PRF-0062,160.24,49
PRF-0063,146.72,60
PRF-0064,144.54,28
PRF-0065,35.25,58
PRF-0066,21.88,62
PRF-0067,150.98,37
PRF-0068,54.79,57
PRF-0069,80.11,29
PRF-0070,128.33,2
PRF-0071,73.53,15
PRF-0072,118.15,15
PRF-0073,176.63,56
PRF-0074,49.77,31
PRF-0075,75.50,57
BKH-0076,26.47,8
BKH-0077,205.74,29
BKH-0078,115.19,70
BKH-0079,176.36,72
BKH-0080,50.11,16
BKH-0081,135.59,44
BKH-0082,91.32,2
BKH-0083,134.59,29
BKH-0084,171.67,30
BKH-0085,216.27,60
BKH-0086,13.39,22
BKH-0087,111.21,51
BKH-0088,127.89,46
BKH-0089,60.54,15
BKH-0090,148.70,7
BKH-0091,25.76,10
BKH-0092,142.71,8
GFT-0093,188.98,53
GFT-0094,68.33,11
GFT-0095,87.71,78
GFT-0096,19.02,34
GFT-0097,79.87,49
GFT-0098,107.54,28
GFT-0099,76.92,38
GFT-0100,184.97,14
GFT-0101,24.77,9
GFT-0102,169.96,77
GFT-0103,95.55,14
GFT-0104,57.92,20
GFT-0105,66.24,47
MSK-0106,211.67,29
MSK-0107,202.10,57
MSK-0108,135.83,1
MSK-0109,22.98,49
MSK-0110,174.83,28
MSK-0111,67.53,35
MSK-0112,54.74,75
MSK-0113,62.30,8
MSK-0114,115.92,69
MSK-0115,173.21,63
MSK-0116,50.92,76
MSK-0117,29.03,6
MSK-0118,61.14,52
MSK-0119,32.89,63
MSK-0120,123.78,71
MSK-0121,95.00,21
INC-0122,62.06,36
INC-0123,133.94,6
INC-0124,111.92,2
INC-0125,140.19,43
INC-0126,121.34,63
INC-0127,137.25,26
INC-0128,42.10,38
INC-0129,128.45,30
INC-0130,175.89,5
INC-0131,152.76,23
TRV-0132,40.93,32
TRV-0133,85.86,21
TRV-0134,81.30,0
TRV-0135,154.46,56
TRV-0136,156.12,16
TRV-0137,210.22,16
TRV-0138,32.10,76
