SKU,Item Name,Category,Unit,Cost,Selling Price (VAT incl.),Opening Qty,Barcode,Tax Group
OUD-0001,Cambodi Oud Oil 1,Oud,Each,148.06,250.20,35,6285225583035,Standard 5%
OUD-0002,Cambodi Oud Oil 2,Oud,Each,188.75,262.14,33,6285434949340,Standard 5%
OUD-0003,Cambodi Oud Oil 3,Oud,Each,151.31,326.46,44,6287939982489,Standard 5%
OUD-0004,Cambodi Oud Oil 4,Oud,Each,85.85,173.85,24,6285421555596,Standard 5%
OUD-0005,Cambodi Oud Oil 5,Oud,Each,210.75,317.42,1,6284894003809,Standard 5%
OUD-0006,Cambodi Oud Oil 6,Oud,Each,217.07,446.59,75,6281462314661,Standard 5%
OUD-0007,Cambodi Oud Oil 7,Oud,Each,124.44,268.72,2,6288230127578,Standard 5%
OUD-0008,Hindi Oud Chips 1,Oud,Each,201.26,440.03,47,6285776109188,Standard 5%
OUD-0009,Hindi Oud Chips 2,Oud,Each,199.68,364.78,22,6287826505933,Standard 5%
OUD-0010,Hindi Oud Chips 3,Oud,Each,217.85,388.00,66,6288572100156,Standard 5%
OUD-0011,Hindi Oud Chips 4,Oud,Each,146.14,320.06,69,6284375707346,Standard 5%
OUD-0012,Hindi Oud Chips 5,Oud,Each,219.34,471.09,69,6283944432218,Standard 5%
OUD-0013,Hindi Oud Chips 6,Oud,Each,77.44,140.08,74,6282195242038,Standard 5%
OUD-0014,Royal Oud Blend 1,Oud,Each,132.32,204.30,69,6285525011813,Standard 5%
OUD-0015,Royal Oud Blend 2,Oud,Each,106.56,193.39,76,6288364325288,Standard 5%
OUD-0016,Royal Oud Blend 3,Oud,Each,61.59,124.39,70,6284370918471,Standard 5%
OUD-0017,Royal Oud Blend 4,Oud,Each,31.84,55.88,1,6289922120235,Standard 5%
OUD-0018,Royal Oud Blend 5,Oud,Each,115.46,230.70,36,6287212460047,Standard 5%
OUD-0019,Royal Oud Blend 6,Oud,Each,88.86,169.05,35,6287015584813,Standard 5%
OUD-0020,Malaysian Oud Oil 1,Oud,Each,75.27,128.13,42,6287668481027,Standard 5%
OUD-0021,Malaysian Oud Oil 2,Oud,Each,94.65,188.24,41,6281535075512,Standard 5%
OUD-0022,Malaysian Oud Oil 3,Oud,Each,207.45,351.45,27,6288764818806,Standard 5%
OUD-0023,Malaysian Oud Oil 4,Oud,Each,63.30,107.19,71,6289800014033,Standard 5%
OUD-0024,Malaysian Oud Oil 5,Oud,Each,66.07,141.83,0,6282941088763,Standard 5%
OUD-0025,Malaysian Oud Oil 6,Oud,Each,135.11,267.11,70,6285902453334,Standard 5%
ATR-0026,Rose Attar 1,Attar,Each,24.86,44.07,64,6281007933421,Standard 5%
ATR-0027,Rose Attar 2,Attar,Each,149.42,258.59,13,6289635180096,Standard 5%
ATR-0028,Rose Attar 3,Attar,Each,120.38,237.85,20,6281578263426,Standard 5%
ATR-0029,Rose Attar 4,Attar,Each,182.25,331.21,53,6286178308626,Standard 5%
ATR-0030,Rose Attar 5,Attar,Each,207.55,430.84,58,6282741614975,Standard 5%
ATR-0031,Sandalwood Attar 1,Attar,Each,216.56,317.02,64,6289922871581,Standard 5%
ATR-0032,Sandalwood Attar 2,Attar,Each,49.18,73.14,8,6283202825652,Standard 5%
ATR-0033,Sandalwood Attar 3,Attar,Each,215.41,442.39,45,6288900665877,Standard 5%
ATR-0034,Sandalwood Attar 4,Attar,Each,56.89,109.67,61,6281892822592,Standard 5%
ATR-0035,Sandalwood Attar 5,Attar,Each,178.48,272.58,28,6281478975860,Standard 5%
ATR-0036,Sandalwood Attar 6,Attar,Each,197.96,363.19,60,6281070799176,Standard 5%
ATR-0037,Sandalwood Attar 7,Attar,Each,48.27,79.29,38,6282278421667,Standard 5%
ATR-0038,Jasmine Attar 1,Attar,Each,119.39,241.63,38,6281406834543,Standard 5%
ATR-0039,Jasmine Attar 2,Attar,Each,9.87,13.97,41,6281356190043,Standard 5%
ATR-0040,Jasmine Attar 3,Attar,Each,169.33,328.11,71,6288469864898,Standard 5%
ATR-0041,Jasmine Attar 4,Attar,Each,69.09,131.12,52,6283529802439,Standard 5%
ATR-0042,Musk Attar 1,Attar,Each,43.11,59.52,62,6282404244990,Standard 5%
ATR-0043,Musk Attar 2,Attar,Each,158.17,221.10,42,6284820409986,Standard 5%
ATR-0044,Musk Attar 3,Attar,Each,143.46,234.87,13,6287079808282,Standard 5%
ATR-0045,Musk Attar 4,Attar,Each,17.56,28.28,6,6283922968520,Standard 5%
ATR-0046,Musk Attar 5,Attar,Each,13.55,23.08,65,6285046731265,Standard 5%
ATR-0047,Musk Attar 6,Attar,Each,45.32,80.24,11,6288505404419,Standard 5%
PRF-0048,Oud Royale EDP 1,Perfumes,Each,179.06,378.28,15,6281111402551,Standard 5%
PRF-0049,Oud Royale EDP 2,Perfumes,Each,92.76,150.54,57,6286280567538,Standard 5%
PRF-0050,Oud Royale EDP 3,Perfumes,Each,170.88,344.67,73,6281245721714,Standard 5%
PRF-0051,Oud Royale EDP 4,Perfumes,Each,56.82,114.10,54,6281929236251,Standard 5%
PRF-0052,Oud Royale EDP 5,Perfumes,Each,206.00,416.86,45,6281849237605,Standard 5%
PRF-0053,Amber Musk EDP 1,Perfumes,Each,27.58,52.20,45,6282326512437,Standard 5%
PRF-0054,Amber Musk EDP 2,Perfumes,Each,68.05,95.82,34,6286028166203,Standard 5%
PRF-0055,Amber Musk EDP 3,Perfumes,Each,166.87,350.56,12,6287953575105,Standard 5%
