Customer Code,Customer,Phone,Outstanding,Since,TRN
CUST-001,Meydan Retail Partners LLC,,"7.292,39",01/03/2026,144936343232810
CUST-002,Bur Dubai Mobile Souq,0513211539,١٦٧١,01/03/2026,
CUST-003,Sharjah Electronics Hub,0515529436,"5,277.63",01/03/2026,187884626495352
CUST-004,شركة الاتحاد للاتصالات,,-,01/03/2026,
CUST-005,Ajman Gadget World,0510771051,3754.22 AED,01/03/2026,150263702116959
CUST-006,Al Nasr Trading Est,0537189144,"2.534,99",01/03/2026,
CUST-007,متجر الفلاح للجوالات,,١١٤٣,01/03/2026,111615092296281
CUST-008,Deira Digital Distribution,0595646901,"6,062.85",01/03/2026,
CUST-009,Gulf Wireless Trading LLC,0585240318,-,01/03/2026,172714177908239
CUST-010,Ajman Free Zone Retail Co,,3398.79 AED,01/03/2026,
CUST-011,Fatima Mobile Accessories,0586888241,"2.589,57",01/03/2026,186171584067219
CUST-012,Union Square Electronics,0585607451,٧٤١٣,01/03/2026,
