Code,Name,Bur Dubai,Sharjah,Ajman
MM-00001,Falconx Smartphone 128GB - v1,18,6,16
MM-00002,Falconx Smartphone 128GB - v2,25,18,12
MM-00003,Falconx Smartphone 128GB - v3,6,19,18
MM-00004,Falconx Smartphone 128GB - v4,4,0,4
MM-00005,Falconx Smartphone 128GB - v5,13,15,1
MM-00006,Falconx Smartphone 128GB - v6,8,11,5
MM-00007,Vantage Smartphone 256GB - v1,21,4,19
MM-00008,Vantage Smartphone 256GB - v2,11,20,2
MM-00009,Vantage Smartphone 256GB - v3,28,21,10
MM-00010,Vantage Smartphone 256GB - v4,7,7,1
MM-00011,PureSound Smartphone Lite - v1,16,18,5
MM-00012,PureSound Smartphone Lite - v2,8,18,15
MM-00013,PureSound Smartphone Lite - v3,23,18,7
MM-00014,PureSound Smartphone Lite - v4,14,5,11
MM-00015,PureSound Smartphone Lite - v5,6,13,14
MM-00016,PureSound Smartphone Lite - v6,10,7,4
MM-00017,Orbit Fast Charger 20W - v1,11,24,13
MM-00018,Orbit Fast Charger 20W - v2,25,3,9
MM-00019,Orbit Fast Charger 20W - v3,3,12,7
MM-00020,Orbit Fast Charger 20W - v4,29,15,9
MM-00021,Orbit Fast Charger 20W - v5,16,6,14
MM-00022,Orbit Fast Charger 65W - v1,25,21,19
MM-00023,Orbit Fast Charger 65W - v2,12,2,13
MM-00024,Orbit Fast Charger 65W - v3,26,9,7
MM-00025,Orbit Fast Charger 65W - v4,13,4,17
MM-00026,Orbit Fast Charger 65W - v5,22,9,8
MM-00027,Zenlink Wireless Charger Pad - v1,13,24,16
MM-00028,Zenlink Wireless Charger Pad - v2,18,15,15
MM-00029,Zenlink Wireless Charger Pad - v3,10,14,15
MM-00030,Nova Phone Case - v1,9,6,16
MM-00010,Vantage Smartphone 256GB - v4 (open box),6,2,12
MM-00031,Nova Phone Case - v2,12,8,9
MM-00032,Nova Phone Case - v3,2,7,19
MM-00033,Nova Phone Case - v4,23,20,9
MM-00034,Nova Phone Case - v5,21,21,19
MM-00035,PureSound Screen Protector - v1,6,7,17
MM-00036,PureSound Screen Protector - v2,28,14,12
