Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms,TRN
CN-00001,Prime Maintenance Co,0556871881,100000,"5,528.46",Mahmoud,COD,186149991768377
CN-00002,National Engineering Consultants,0539510631,100000,"31.940,58",Rakesh,45 days,123079297028075
CN-00003,Al Reem MEP Services,0576870604,50000,17379.99,Rakesh,Cash,171185326180533
CN-00004,Oasis Construction Co,0594951890,100000,24625.00,Mahmoud,Cash,162379544508538
CN-00005,Pearl Engineering Consultants,0584113969,50000,AED 54321.01,Anwar,Cash,188154162051402
CN-00006,Marina Real Estate Development,0535586290,100000,3506.36,Khaled,90 days,126634531981370
CN-00007,National Engineering Consultants,0546539273,25000,"48,913.09",Anwar,Cash,
CN-00008,Marina Contracting LLC,0591249963,10000,"47.317,69",Joseph,30 days,168511641389867
CN-00009,Capital Fit-out Co,0551868451,10000,32953.70,Mahmoud,Cash,138647840856605
CN-00010,Marina Fit-out Co,0554335268,100000,57504.37,Mahmoud,30 days,
CN-00011,Falcon Contracting LLC,0511528500,10000,AED 37135.42,Anwar,90 days,126366789608005
CN-00012,Marina Construction Co,0594532530,100000,25482.70,Joseph,Cash,199073511833685
CN-00013,Pearl Interiors LLC,0565589251,10000,"10,303.61",Suresh,90 days,177389115916262
CN-00014,Gulf Fit-out Co,0544757702,25000,"43.977,73",Rakesh,90 days,191582978563612
CN-00015,Falcon MEP Services,0570224024,100000,55283.48,Rakesh,Cash,183366105381795
CN-00016,Falcon Engineering Consultants,0521294989,25000,44690.20,Khaled,COD,190242504440242
CN-00017,Prime Builders LLC,0587987265,25000,AED 9727.48,Suresh,Cash,122571822123528
CN-00018,Gulf Trading Est,0529569416,100000,22331.70,Suresh,90 days,151199147072595
CN-00019,Al Reem Engineering Consultants,0558800857,,"39,897.84",Anwar,Cash,115780084220445
CN-00020,Reliable Engineering Consultants,0591179848,10000,"19.401,37",Joseph,60 days,
CN-00021,Al Reem Real Estate Development,0523610443,100000,10543.95,Rakesh,45 days,178136159572517
CN-00022,Prime Fit-out Co,0595067194,100000,43923.64,Khaled,30 days,170718941125996
CN-00023,Desert Fit-out Co,0561149452,,AED 52226.86,Suresh,Cash,
CN-00024,National Maintenance Co,0563983516,50000,19542.15,Rakesh,Cash,161959972348750
CN-00025,Pearl Construction Co,0567354123,10000,"50,971.00",Joseph,30 days,146171532955526
CN-00026,Emirates Maintenance Co,0551456496,100000,"8.928,53",Joseph,60 days,195413883113504
CN-00027,Pearl Maintenance Co,0573655961,,18711.86,Khaled,90 days,193224108627495
CN-00028,Al Manara MEP Services,0535878030,100000,36105.87,Rakesh,COD,183509240240515
CN-00029,National Engineering Consultants,0531595987,,AED 18592.63,Anwar,60 days,124863238142245
CN-00030,Pearl Engineering Consultants,0571992816,50000,57942.62,Anwar,90 days,120635433827580
CN-00031,Capital Construction Co,0589546693,10000,"31,136.00",Mahmoud,45 days,131601161007911
CN-00032,Al Reem Construction Co,0538323976,10000,"31.543,70",Mahmoud,45 days,182641924901245
CN-00033,Prime Engineering Consultants,0511870207,,37186.20,Khaled,60 days,130441274658579
CN-00034,Reliable Maintenance Co,0551893256,50000,12629.57,Mahmoud,30 days,101564271152421
CN-00035,Capital Trading Est,0552548622,25000,AED 6628.88,Rakesh,45 days,133278638066155
CN-00036,Marina Contracting LLC,0530804467,10000,1922.39,Rakesh,COD,130834384067854
CN-00037,National Construction Co,0584986222,100000,"27,066.45",Rakesh,COD,127850407087582
CN-00038,Capital Trading Est,0597696757,50000,"39.954,25",Joseph,45 days,189994836908263
CN-00039,Falcon Trading Est,0598176204,100000,17306.40,Khaled,60 days,185759164776747
CN-00040,Prime Interiors LLC,0589371093,10000,30411.23,Rakesh,Cash,154061944797988
CN-00041,Prime Fit-out Co,0547863882,50000,AED 33539.47,Joseph,Cash,158182165020953
CN-00042,Marina Builders LLC,0517588667,100000,9051.00,Anwar,30 days,131471176804491
CN-00043,Pearl Interiors LLC,0580570059,25000,"47,955.35",Anwar,45 days,105675092526226
CN-00044,Union Interiors LLC,0528666006,100000,"41.320,18",Anwar,Cash,114365981184249
CN-00045,Reliable Maintenance Co,0561062160,,7737.69,Rakesh,30 days,159036222399050
CN-00046,Falcon MEP Services,0516793233,10000,18804.65,Anwar,Cash,119737304446750
