Transfer No,From (Designated Zone),To (Mainland),SKU,Item,Qty,Value (AED),VAT Treatment
TRF-2026-0001,Jebel Ali Free Zone Store,Ras Al Khor Store,PAINT-008356,Primer 4L Box of 10,175,98364.00,Reverse Charge - DZ to Mainland
TRF-2026-0002,Jebel Ali Free Zone Store,Central Warehouse (Al Quoz),ELEC-005242,Junction Box Small,241,2106.34,Reverse Charge - DZ to Mainland
TRF-2026-0003,Jebel Ali Free Zone Store,Al Quoz Store,TILE-004962,Marble Effect Tile 25kg,277,49749.20,Reverse Charge - DZ to Mainland
TRF-2026-0004,Jebel Ali Free Zone Store,Ajman Store,MEAS-007631,Spirit Level Small,211,16715.42,Reverse Charge - DZ to Mainland
TRF-2026-0005,Jebel Ali Free Zone Store,Ajman Store,HAND-001421,Pliers 20kg,337,248975.60,Reverse Charge - DZ to Mainland
TRF-2026-0006,Jebel Ali Free Zone Store,Ras Al Khor Store,ADHE-003114,Epoxy 1.2m x 2.4m,170,96031.30,Reverse Charge - DZ to Mainland
TRF-2026-0007,Jebel Ali Free Zone Store,Central Warehouse (Al Quoz),MEAS-003248,Laser Level 6in,245,23995.30,Reverse Charge - DZ to Mainland
TRF-2026-0008,Jebel Ali Free Zone Store,Central Warehouse (Al Quoz),PLUM-002824,PVC Pipe 4in Box of 10,201,147658.62,Reverse Charge - DZ to Mainland
TRF-2026-0009,Jebel Ali Free Zone Store,Al Quoz Store,TILE-002524,Porcelain Tile 20L,219,170579.10,Reverse Charge - DZ to Mainland
TRF-2026-0010,Jebel Ali Free Zone Store,Ras Al Khor Store,HAND-005614,Wrench 20L,306,74517.12,Reverse Charge - DZ to Mainland
TRF-2026-0011,Jebel Ali Free Zone Store,Ajman Store,TILE-000927,Ceramic Wall Tile 25kg,365,17319.25,Reverse Charge - DZ to Mainland
TRF-2026-0012,Jebel Ali Free Zone Store,Ras Al Khor Store,PLUM-002856,Pipe Fitting 1.2m x 2.4m,128,80901.12,Reverse Charge - DZ to Mainland
TRF-2026-0013,Jebel Ali Free Zone Store,Al Quoz Store,PWR-000187,Impact Driver Small,60,48516.00,Reverse Charge - DZ to Mainland
TRF-2026-0014,Jebel Ali Free Zone Store,Al Quoz Store,CEM-000884,Ready Mix Sand 50kg,13,4139.33,Reverse Charge - DZ to Mainland
TRF-2026-0015,Jebel Ali Free Zone Store,Sharjah Industrial Store,CEM-003333,Portland Cement 50kg 600x600mm,284,153084.52,Reverse Charge - DZ to Mainland
