Doc No,Account No,Customer,Value (AED),Date,Status,Project Ref
QT-2026-0001,CN-02045,Capital Real Estate Development,"92,606.43",2026-06-13,Part-Delivered,Mall Fit-out - Sharjah
QT-2026-0002,CN-02612,Falcon Engineering Consultants,"84,863.79",2026-06-02,Quotation,Mall Fit-out - Sharjah
QT-2026-0003,CN-03445,Reliable Builders LLC,"75,839.50",2026-06-05,Quotation,Warehouse - Jebel Ali
QT-2026-0004,CN-02053,Prime Interiors LLC,"125,303.41",2026-06-05,Confirmed Order,Tower - Business Bay
QT-2026-0005,CN-01675,Modern Maintenance Co,"68,690.78",2026-06-01,Quotation,Warehouse - Jebel Ali
QT-2026-0006,CN-03158,Modern Trading Est,"108,006.46",2026-06-09,Confirmed Order,Maintenance
QT-2026-0007,CN-01444,Modern Real Estate Development,"34,845.47",2026-06-06,Quotation,Maintenance
QT-2026-0008,CN-00776,Modern Construction Co,"43,261.29",2026-06-04,Part-Delivered,Mall Fit-out - Sharjah
QT-2026-0009,CN-03318,Pearl Builders LLC,"41,704.43",2026-06-15,Quotation,Tower - Business Bay
QT-2026-0010,CN-02505,Oasis Contracting LLC,"38,366.02",2026-06-02,Quotation,
QT-2026-0011,CN-02083,Falcon Interiors LLC,"69,050.56",2026-06-11,Confirmed Order,Villa - Arabian Ranches
QT-2026-0012,CN-01406,Gulf Builders LLC,"66,558.19",2026-06-07,Part-Delivered,Villa - Arabian Ranches
QT-2026-0013,CN-01944,Pearl Real Estate Development,"132,062.62",2026-06-02,Confirmed Order,Warehouse - Jebel Ali
QT-2026-0014,CN-03007,Desert Builders LLC,"43,152.40",2026-06-05,Confirmed Order,
QT-2026-0015,CN-02524,Emirates Builders LLC,"47,178.12",2026-06-04,Part-Delivered,
QT-2026-0016,CN-00020,Reliable Engineering Consultants,"68,012.27",2026-06-03,Confirmed Order,
QT-2026-0017,CN-02813,Modern Maintenance Co,"120,368.14",2026-06-07,Confirmed Order,Villa - Arabian Ranches
QT-2026-0018,CN-00671,Meraas Contracting LLC,"57,557.89",2026-06-08,Confirmed Order,Maintenance
QT-2026-0019,CN-02191,Gulf Builders LLC,"20,677.76",2026-06-15,Part-Delivered,Mall Fit-out - Sharjah
QT-2026-0020,CN-03629,Meraas Engineering Consultants,"23,647.35",2026-06-01,Part-Delivered,Fit-out
QT-2026-0021,CN-00128,Pearl Fit-out Co,"10,378.69",2026-06-06,Quotation,Fit-out
QT-2026-0022,CN-01693,Prime Interiors LLC,"44,204.18",2026-06-11,Part-Delivered,Villa - Arabian Ranches
