Code,Name,Al Quoz Store,Sharjah Industrial Store,Ajman Store,Ras Al Khor Store,Jebel Ali Free Zone Store,Central Warehouse (Al Quoz)
SAFE-000001,Hi-Vis Vest Grey,8,26,12,15,9,40
PAINT-000002,Wood Varnish 20L,10,33,26,20,16,10
HAND-000003,Screwdriver Set White,32,12,21,15,29,25
CEM-000004,Ready Mix Sand Medium,25,34,3,35,23,2
CEM-000005,Aggregate 20mm White,32,23,32,40,21,10
MEAS-000006,Tape Measure Large,11,27,40,31,27,5
HAND-000007,Screwdriver Set Grey,3,33,9,12,21,5
ELEC-000008,Cable 4mm 4L,23,2,1,19,3,27
PAINT-000009,Wood Varnish 6in,10,29,30,32,8,19
HAND-000010,Wrench 25kg,25,15,25,36,35,7
HAND-000011,Hammer 20kg,39,21,39,13,12,22
PLUM-000012,Flexible Hose 1.2m x 2.4m,5,18,28,31,34,32
TILE-000013,Ceramic Wall Tile Large,0,32,15,4,1,14
HAND-000014,Wrench Small,21,29,29,3,30,19
ELEC-000015,Circuit Breaker 1.2m x 2.4m,32,6,16,4,4,9
MEAS-000016,Tape Measure Small,33,39,20,34,27,33
HAND-000017,Pliers Box of 10,17,27,2,3,38,40
TILE-000018,Outdoor Paver White,32,27,14,15,28,29
PAINT-000019,Weatherproof Paint 300x300mm,7,31,8,13,35,34
TIMB-000020,Plywood Sheet 18mm 600x600mm,32,3,38,6,15,24
ELEC-000021,Cable 4mm White,29,36,1,29,11,2
HAND-000022,Hammer Box of 50,17,25,12,36,0,11
FAST-000023,Anchor Bolt Large,12,35,27,38,9,1
PLUM-000024,PVC Pipe 4in 1.2m x 2.4m,6,36,29,21,21,35
ELEC-000025,LED Panel Light 4L,0,29,40,35,0,28
HAND-000026,Pliers 20L,1,21,21,40,26,15
FAST-000027,Self-Tapping Screw 4in,17,20,24,35,38,17
ELEC-000028,Wall Socket 20kg,4,38,15,17,33,2
MEAS-000029,Tape Measure Box of 50,3,9,24,5,31,24
PLUM-000030,Water Tank Fitting 600x600mm,34,10,16,3,3,32
HAND-000031,Hand Saw 20L,17,8,21,13,22,8
SAFE-000032,Hi-Vis Vest 300x300mm,33,36,16,18,35,4
TILE-000033,Marble Effect Tile 300x300mm,7,35,25,14,10,27
TILE-000034,Outdoor Paver Box of 50,30,10,27,17,33,4
PLUM-000035,Pipe Fitting 1.2m x 2.4m,16,25,27,6,24,32
MEAS-000036,Laser Level Small,28,27,23,26,32,33
SAFE-000037,Safety Helmet Grey,31,16,30,34,19,32
HAND-000038,Screwdriver Set 1.2m x 2.4m,14,7,6,1,36,37
HAND-000039,Pliers Large,24,17,37,28,33,31
TILE-000040,Outdoor Paver 50kg,21,36,7,17,22,26
PWR-000041,Circular Saw 300x300mm,19,29,28,18,9,11
SAFE-000042,Safety Helmet Large,26,19,37,35,34,16
ELEC-000043,LED Panel Light 300x300mm,3,37,16,0,38,15
CEM-000044,Portland Cement 50kg 600x600mm,0,27,13,25,22,23
ADHE-000045,Grout 4L,3,31,2,17,36,34
TILE-000046,Marble Effect Tile Small,9,28,7,33,15,19
SAFE-000047,Work Gloves Small,18,7,25,37,38,27
ADHE-000048,Epoxy Box of 10,29,12,32,14,25,17
TILE-000049,Porcelain Tile 25kg,34,32,40,40,39,16
HAND-000050,Wrench Box of 10,40,20,0,5,28,31
FAST-000051,Anchor Bolt 20L,28,3,28,39,3,23
CEM-000052,Aggregate 20mm Box of 10,28,20,12,26,16,3
MEAS-000053,Spirit Level 1.2m x 2.4m,19,8,40,21,24,28
MEAS-000054,Spirit Level Grey,4,25,6,38,16,29
CEM-000055,Gypsum Plaster Box of 10,34,13,8,21,6,32
TIMB-000056,Plywood Sheet 18mm Large,33,25,13,29,13,13
ELEC-000057,LED Panel Light 6in,13,33,32,39,14,32
SAFE-000058,Hi-Vis Vest White,7,21,20,19,36,14
ELEC-000059,Junction Box Large,1,34,25,30,23,40
HAND-000060,Pliers 300x300mm,11,16,33,33,3,38
PLUM-000061,Water Tank Fitting 4L,26,21,20,31,30,11
TILE-000062,Marble Effect Tile White,10,12,8,12,12,18
SAFE-000063,Safety Goggles 600x600mm,9,31,11,28,4,12
FAST-000064,Self-Tapping Screw Medium,11,21,38,33,37,38
TILE-000065,Ceramic Wall Tile 300x300mm,8,22,21,1,29,24
FAST-000066,Anchor Bolt Grey,25,6,31,26,5,39
ADHE-000067,Tile Adhesive 25kg 4in,3,2,11,27,18,5
ADHE-000068,Tile Adhesive 25kg 600x600mm,1,8,21,37,0,34
SAFE-000069,Hi-Vis Vest 20kg,24,2,24,30,10,7
CEM-000070,Portland Cement 50kg 4in,4,40,22,28,10,38
FAST-000071,Wood Screw Box Box of 50,14,22,35,16,3,0
PLUM-000072,Flexible Hose Box of 10,9,12,14,33,19,7
ADHE-000073,Grout Box of 50,2,3,12,23,27,1
SAFE-000074,Work Gloves White,38,12,30,29,23,8
TIMB-000075,Formwork Panel Grey,22,4,28,5,7,29
