Cheque No,Account No,Customer,Bank,Amount,Cheque Date,Status
CHQ-412733,CN-01052,Modern MEP Services,ADCB,"71,666.35",2026-11-12,Deposited
CHQ-440607,CN-01885,Emirates Construction Co,FAB,"4,474.41",2026-11-04,Cleared
CHQ-539974,CN-01392,Pearl Interiors LLC,FAB,"39,312.69",2026-06-02,On Hand
CHQ-954592,CN-03746,Capital Fit-out Co,FAB,"60,996.50",2026-11-19,Cleared
CHQ-506227,CN-01241,Meraas Fit-out Co,FAB,"67,257.81",2026-12-26,On Hand
CHQ-176737,CN-02089,Gulf Engineering Consultants,FAB,"44,316.90",2026-06-25,Cleared
CHQ-444928,CN-00420,Gulf Builders LLC,RAK Bank,"83,053.85",2026-11-24,Deposited
CHQ-192838,CN-00266,Gulf Trading Est,Mashreq,"22,518.79",2026-12-03,Deposited
CHQ-425791,CN-01907,Al Manara Construction Co,ADCB,"17,913.51",2026-11-18,Cleared
CHQ-439565,CN-02338,Al Reem Construction Co,FAB,"66,626.96",2026-10-06,Cleared
CHQ-718426,CN-03899,Meraas Fit-out Co,Emirates NBD,"38,974.95",2026-07-04,Deposited
CHQ-858678,CN-03246,Reliable Builders LLC,DIB,"65,755.70",2026-09-07,On Hand
CHQ-276933,CN-03258,Modern Contracting LLC,ADCB,"57,929.19",2026-10-02,Cleared
CHQ-600096,CN-03242,Al Reem Maintenance Co,RAK Bank,"78,941.04",2026-12-12,On Hand
CHQ-368612,CN-03212,Emirates Engineering Consultants,ADCB,"26,656.22",2026-08-22,Cleared
CHQ-754690,CN-03700,Reliable Maintenance Co,Mashreq,"34,913.26",2026-11-28,Cleared
CHQ-806750,CN-01608,Marina Builders LLC,ADCB,"80,761.32",2026-12-23,Deposited
CHQ-206219,CN-01868,Meraas Engineering Consultants,Mashreq,"12,120.02",2026-09-14,On Hand
CHQ-664242,CN-03844,Pearl MEP Services,RAK Bank,"60,406.14",2026-11-16,Cleared
CHQ-680620,CN-03771,Union Trading Est,Emirates NBD,"47,280.40",2026-12-15,Cleared
CHQ-904005,CN-03053,Capital Interiors LLC,ADCB,"14,763.69",2026-08-05,On Hand
CHQ-828500,CN-00710,Meraas Contracting LLC,FAB,"20,421.39",2026-12-16,Cleared
CHQ-603986,CN-02507,Falcon Contracting LLC,ADCB,"52,766.06",2026-12-06,On Hand
CHQ-469922,CN-03605,Union MEP Services,Mashreq,"18,264.29",2026-06-13,Cleared
CHQ-118439,CN-00194,Reliable Fit-out Co,DIB,"44,936.75",2026-08-01,Cleared
CHQ-786512,CN-01627,Reliable Trading Est,Emirates NBD,"73,105.69",2026-11-27,Deposited
CHQ-385297,CN-04115,Union Trading Est,RAK Bank,"26,886.54",2026-11-10,On Hand
CHQ-233899,CN-04117,Gulf Maintenance Co,FAB,"48,844.26",2026-08-10,Deposited
CHQ-864937,CN-00754,Union Interiors LLC,FAB,"84,079.03",2026-10-13,Deposited
CHQ-511994,CN-00664,Union Construction Co,Emirates NBD,"69,079.79",2026-10-20,On Hand
CHQ-547344,CN-04156,Al Reem Interiors LLC,RAK Bank,"87,972.61",2026-12-01,Cleared
CHQ-323291,CN-00962,Emirates MEP Services,Mashreq,"84,890.38",2026-10-10,On Hand
CHQ-629181,CN-01134,Capital Contracting LLC,Mashreq,"55,897.11",2026-06-15,On Hand
CHQ-677755,CN-02819,Union Contracting LLC,RAK Bank,"74,523.51",2026-07-26,Deposited
CHQ-868881,CN-02922,Union Engineering Consultants,FAB,"31,221.57",2026-07-04,Deposited
CHQ-394795,CN-01659,Emirates MEP Services,RAK Bank,"86,719.28",2026-10-06,Deposited
CHQ-239056,CN-00401,Capital Maintenance Co,RAK Bank,"4,811.92",2026-11-07,Deposited
CHQ-162784,CN-03383,Pearl Construction Co,FAB,"6,987.91",2026-08-04,On Hand
CHQ-420944,CN-00249,Union Interiors LLC,DIB,"73,941.87",2026-11-28,On Hand
CHQ-394995,CN-01890,Prime Construction Co,Mashreq,"34,502.04",2026-11-16,Deposited
CHQ-755657,CN-01882,Al Manara Maintenance Co,Emirates NBD,"63,303.67",2026-08-25,Cleared
CHQ-137579,CN-03046,Al Manara Construction Co,DIB,"17,316.79",2026-09-06,On Hand
CHQ-498268,CN-00444,Oasis MEP Services,DIB,"60,647.56",2026-10-04,On Hand
CHQ-759557,CN-01022,Desert Real Estate Development,Mashreq,"36,306.65",2026-10-11,Deposited
CHQ-213619,CN-00999,Al Manara Builders LLC,RAK Bank,"37,661.00",2026-11-09,On Hand
CHQ-675746,CN-03218,National Builders LLC,Emirates NBD,"3,838.41",2026-12-24,Cleared
CHQ-538779,CN-03013,Reliable Contracting LLC,DIB,"5,233.29",2026-12-19,Deposited
CHQ-149491,CN-02205,Pearl Builders LLC,Emirates NBD,"33,283.46",2026-08-17,Deposited
CHQ-647789,CN-03913,Capital Contracting LLC,FAB,"28,873.81",2026-08-14,Cleared
CHQ-358525,CN-01262,Emirates Builders LLC,Mashreq,"23,023.55",2026-09-28,Cleared
CHQ-787201,CN-00341,Emirates Maintenance Co,Mashreq,"17,385.10",2026-08-14,Deposited
CHQ-116514,CN-02061,Desert Construction Co,Mashreq,"33,340.13",2026-09-14,Cleared
CHQ-625194,CN-01107,Pearl Maintenance Co,RAK Bank,"23,834.84",2026-09-23,Deposited
