Vendor Code,Supplier Name,Phone,Outstanding,TRN,Country,Currency,VAT Treatment
V-0001,Marina Industrial,044328274,411925.20,143381546804640,UAE,AED,Standard - Domestic
V-0002,Al Reem Distribution,047533897,356693.25,188922400180000,UAE,AED,Standard - Domestic
V-0003,Modern Distribution,047186146,27510.68,121218571195330,UAE,AED,Standard - Domestic
V-0004,Pearl Supplies,043752392,39348.07,158279098596053,UAE,AED,Standard - Domestic
V-0005,Marina Trading Co,045993455,169958.97,107682409177568,UAE,AED,Standard - Domestic
V-0006,Al Manara Industrial,044675885,247608.16,131752379948590,UAE,AED,Standard - Domestic
V-0007,Reliable Distribution,042601752,257545.96,182922964350975,UAE,AED,Standard - Domestic
V-0008,National Distribution,049042904,340.18,123251666402633,UAE,AED,Standard - Domestic
V-0009,Marina Distribution,044943691,10933.54,115394479015495,UAE,AED,Standard - Domestic
V-0010,Prime Industrial,044363173,363601.33,182800808665180,UAE,AED,Standard - Domestic
V-0011,Modern Distribution,047010219,247799.68,190026872836920,UAE,AED,Standard - Domestic
V-0012,Modern Trading Co,046711233,110146.12,101682428478245,UAE,AED,Standard - Domestic
V-0013,Al Manara Industrial,047508323,75444.53,176715824356468,UAE,AED,Standard - Domestic
V-0014,Reliable Imports,043641623,26808.84,199260287540946,UAE,AED,Standard - Domestic
V-0015,Capital Trading Co,043104470,326813.06,183367630857241,UAE,AED,Standard - Domestic
V-0016,Prime Imports,049643826,29298.97,102501932898804,UAE,AED,Standard - Domestic
V-0017,Oasis Distribution,043268802,192218.59,132325823854547,UAE,AED,Standard - Domestic
V-0018,Falcon Imports,042388107,55930.63,125512956938951,UAE,AED,Standard - Domestic
V-0019,Reliable Trading Co,047549933,349288.19,161402027439761,UAE,AED,Standard - Domestic
V-0020,Al Manara Trading Co,044123136,360043.48,146909663930439,UAE,AED,Standard - Domestic
V-0021,Modern Distribution,043034065,343722.70,181913553628509,UAE,AED,Standard - Domestic
V-0022,Pearl Industrial,046988192,44093.38,102843365482027,UAE,AED,Standard - Domestic
V-0023,Union Supplies,046771351,145306.78,197333703399776,UAE,AED,Standard - Domestic
V-0024,Al Reem Imports,046122729,343778.36,165693169732566,UAE,AED,Standard - Domestic
V-0025,Desert Imports,048128128,260995.38,180944130081868,UAE,AED,Standard - Domestic
V-0026,Prime Industrial,045502307,290827.34,146464235746453,UAE,AED,Standard - Domestic
V-0027,Gulf Industrial,049478576,365827.28,113562250520453,UAE,AED,Standard - Domestic
V-0028,Oasis Industrial,042839091,383764.52,135869555126910,UAE,AED,Standard - Domestic
V-0029,Modern Trading Co,043560763,324770.85,192246291228210,UAE,AED,Standard - Domestic
V-0030,Emirates Industrial,044218896,54638.28,191975000695167,UAE,AED,Standard - Domestic
V-0031,Al Manara Distribution,048412103,406745.79,158158950141511,UAE,AED,Standard - Domestic
